# num_workers = 96
# num_cells = 256
# seed_for_environment = 2
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 8
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 9
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# index_to_unfreeze_encoder_updates = 10
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze
0	-0.75	8.255396842956543	2.1262571811676025	2.2912039756774902	1.9020073413848877	1.9359287023544312	True
0	-1.0	8.436352729797363	2.2828221321105957	2.284360408782959	1.9413106441497803	1.9278590679168701	True
0	-1.0	8.44783878326416	2.2898526191711426	2.285489559173584	1.9383928775787354	1.9341042041778564	True
0	-1.0	8.44385814666748	2.285799026489258	2.2841403484344482	1.9420883655548096	1.9318304061889648	True
0	-0.75	8.443954467773438	2.2856781482696533	2.2865653038024902	1.9387967586517334	1.9329133033752441	True
0	-1.0	8.444904327392578	2.2853667736053467	2.2861907482147217	1.9430301189422607	1.9303165674209595	True
0	-1.0	8.450953483581543	2.2893245220184326	2.2868947982788086	1.939742922782898	1.934990644454956	True
0	-1.0	8.446535110473633	2.286717653274536	2.285968780517578	1.941899299621582	1.9319500923156738	True
0	-0.75	8.443319320678711	2.289093494415283	2.284224033355713	1.9372862577438354	1.9327157735824585	True
0	-1.0	8.443583488464355	2.285551071166992	2.2848873138427734	1.9424142837524414	1.9307308197021484	True
0	-1.0	8.445904731750488	2.2873177528381348	2.2853052616119385	1.9400806427001953	1.9332010746002197	True
0	-1.0	8.442831993103027	2.2869412899017334	2.2835750579833984	1.9417668581008911	1.9305484294891357	True
0	-0.75	8.443643569946289	2.287522077560425	2.2847237586975098	1.9396820068359375	1.9317162036895752	True
0	-1.0	8.441308975219727	2.2863080501556396	2.2840921878814697	1.940572738647461	1.9303356409072876	True
0	-1.0	8.451648712158203	2.2876434326171875	2.2883245944976807	1.9411377906799316	1.9345430135726929	True
0	-1.0	8.447855949401855	2.2872188091278076	2.287116527557373	1.9419068098068237	1.9316140413284302	True
0	-0.75	8.442584991455078	2.286945104598999	2.2855727672576904	1.9371293783187866	1.9329373836517334	True
0	-1.0	8.440260887145996	2.285457134246826	2.283837080001831	1.9418176412582397	1.9291493892669678	True
0	-1.0	8.445783615112305	2.287782669067383	2.285142421722412	1.9384888410568237	1.9343695640563965	True
0	-1.0	8.445898056030273	2.2862601280212402	2.2857096195220947	1.9431449174880981	1.9307830333709717	True
0	-0.75	8.448875427246094	2.2882065773010254	2.2871668338775635	1.9399954080581665	1.9335062503814697	True
0	-1.0	8.434808731079102	2.2833974361419678	2.2823424339294434	1.9420963525772095	1.9269723892211914	True
0	-1.0	8.45138931274414	2.289052724838257	2.2866218090057373	1.9398787021636963	1.935835599899292	True
0	-1.0	8.445412635803223	2.2868189811706543	2.285846471786499	1.9424521923065186	1.9302948713302612	True
0	-0.75	8.44487476348877	2.2878308296203613	2.284677743911743	1.9377069473266602	1.9346586465835571	True
0	-1.0	8.437766075134277	2.2836265563964844	2.2835986614227295	1.9425870180130005	1.927954077720642	True
0	-1.0	8.451173782348633	2.2888236045837402	2.286153554916382	1.9408721923828125	1.935324788093567	True
0	-1.0	8.453965187072754	2.287808656692505	2.2889750003814697	1.9436185359954834	1.933563470840454	True
0	-0.75	8.447371482849121	2.2893497943878174	2.284958839416504	1.9397566318511963	1.9333064556121826	True
0	-1.0	8.440336227416992	2.2855281829833984	2.28355073928833	1.9416956901550293	1.9295616149902344	True
1	-1.0	7.573262691497803	2.0857768058776855	1.9379258155822754	1.7133055925369263	1.8362544775009155	False
1	-1.0	8.034135818481445	2.110762119293213	2.217010498046875	1.853747844696045	1.8526155948638916	False
1	-0.5	8.005819320678711	2.170785427093506	2.112947463989258	1.8512951135635376	1.8707911968231201	False
1	-0.75	8.173956871032715	2.2162375450134277	2.154362201690674	1.925055980682373	1.8783013820648193	False
1	0.3149999976158142	7.724152565002441	2.0545387268066406	2.1231396198272705	1.7169594764709473	1.8295152187347412	False
1	-0.75	8.083883285522461	2.15390682220459	2.1716971397399902	1.905104637145996	1.8531743288040161	False
1	-1.0	8.030755996704102	2.076538324356079	2.1567020416259766	1.8941316604614258	1.9033839702606201	False
1	-0.75	7.97241735458374	2.111321449279785	2.144871473312378	1.8340851068496704	1.8821393251419067	False
1	0.32499998807907104	7.7413740158081055	2.056537628173828	2.1504530906677246	1.7083436250686646	1.8260400295257568	False
1	-0.75	8.043073654174805	2.127793788909912	2.161912441253662	1.898186206817627	1.8551809787750244	False
1	-1.0	8.101092338562012	2.15671706199646	2.1414754390716553	1.9087523221969604	1.8941476345062256	False
1	-0.75	7.902563095092773	2.057765007019043	2.1521763801574707	1.8140476942062378	1.8785736560821533	False
1	0.33000001311302185	7.724909782409668	2.0428526401519775	2.1524906158447266	1.7111027240753174	1.8184641599655151	False
1	-0.75	8.085360527038574	2.1342532634735107	2.197531223297119	1.910212516784668	1.8433640003204346	False
1	-1.0	8.125208854675293	2.148397445678711	2.169949769973755	1.9120893478393555	1.8947727680206299	False
1	-0.75	8.004743576049805	2.1883301734924316	2.100111961364746	1.8259031772613525	1.8903981447219849	False
1	-1.0	8.074854850769043	2.134552478790283	2.1473851203918457	1.8970255851745605	1.8958914279937744	False
1	-0.75	7.9358296394348145	2.100792169570923	2.1529273986816406	1.8211658000946045	1.860944151878357	False
1	0.33000001311302185	7.725775241851807	2.05185604095459	2.1492013931274414	1.7013006210327148	1.82341730594635	False
1	-0.75	8.06184196472168	2.1162779331207275	2.198239803314209	1.900596022605896	1.8467276096343994	False
1	-0.5	8.080436706542969	2.2121598720550537	2.1623213291168213	1.8659439086914062	1.8400113582611084	False
1	-0.25	8.195948600769043	2.2311534881591797	2.2221617698669434	1.8872545957565308	1.8553789854049683	False
