# num_workers = 15
# num_cells = 256
# seed_for_environment = 1533185143
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = experiment_12_6_seed_1533185143.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 12
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_mix_66-96-126-153_H7_s4000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 15
# Does torch identify cuda: False
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-09_17-23-47	-1.0	2026-08-09_17-23-47	8.990599632263184	2026-08-09_17-23-47	2.558765172958374	2026-08-09_17-23-47	2.551480293273926	2026-08-09_17-23-47	1.9360134601593018	2026-08-09_17-23-47	1.944340705871582	2026-08-09_17-23-47	True	2026-08-09_17-23-47	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 1 1 1]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 0]	2026-08-09_17-23-47	[0 1 0 1 1 0]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47
0	2026-08-09_17-23-47	-1.0	2026-08-09_17-23-47	8.991905212402344	2026-08-09_17-23-47	2.5561130046844482	2026-08-09_17-23-47	2.5549495220184326	2026-08-09_17-23-47	1.9362868070602417	2026-08-09_17-23-47	1.9445558786392212	2026-08-09_17-23-47	True	2026-08-09_17-23-47	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 0]	2026-08-09_17-23-47	[0 1 0 1 1 0]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 1]	2026-08-09_17-23-47	[0 0 0 1 1 0]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47
0	2026-08-09_17-23-48	-1.0	2026-08-09_17-23-48	8.988263130187988	2026-08-09_17-23-48	2.555633783340454	2026-08-09_17-23-48	2.5529396533966064	2026-08-09_17-23-48	1.9351801872253418	2026-08-09_17-23-48	1.9445098638534546	2026-08-09_17-23-48	True	2026-08-09_17-23-48	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-48	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-48	[0 0 0 0 1 1]	2026-08-09_17-23-48	[0 0 0 1 1 0]	2026-08-09_17-23-48	[0]	2026-08-09_17-23-48	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-48	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-48	[0 0 0 0 1 0]	2026-08-09_17-23-48	[0 0 0 1 1 1]	2026-08-09_17-23-48	[0]	2026-08-09_17-23-48
0	2026-08-09_17-23-48	-1.0	2026-08-09_17-23-48	8.984925270080566	2026-08-09_17-23-48	2.5564112663269043	2026-08-09_17-23-48	2.552603244781494	2026-08-09_17-23-48	1.9324367046356201	2026-08-09_17-23-48	1.9434739351272583	2026-08-09_17-23-48	True	2026-08-09_17-23-48	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-48	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-48	[0 0 0 0 1 0]	2026-08-09_17-23-48	[0 0 0 1 1 1]	2026-08-09_17-23-48	[0]	2026-08-09_17-23-48	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-48	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-48	[0 0 0 0 1 1]	2026-08-09_17-23-48	[0 1 0 1 1 1]	2026-08-09_17-23-48	[0]	2026-08-09_17-23-48
0	2026-08-09_17-23-49	-1.0	2026-08-09_17-23-49	8.986734390258789	2026-08-09_17-23-49	2.557399272918701	2026-08-09_17-23-49	2.5506832599639893	2026-08-09_17-23-49	1.934711217880249	2026-08-09_17-23-49	1.9439404010772705	2026-08-09_17-23-49	True	2026-08-09_17-23-49	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-49	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-49	[0 0 0 0 1 1]	2026-08-09_17-23-49	[0 1 0 1 1 1]	2026-08-09_17-23-49	[0]	2026-08-09_17-23-49	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-49	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-49	[0 0 0 0 1 0]	2026-08-09_17-23-49	[0 1 0 1 1 0]	2026-08-09_17-23-49	[0]	2026-08-09_17-23-49
0	2026-08-09_17-23-50	-1.0	2026-08-09_17-23-50	8.988975524902344	2026-08-09_17-23-50	2.5570316314697266	2026-08-09_17-23-50	2.5546910762786865	2026-08-09_17-23-50	1.9343369007110596	2026-08-09_17-23-50	1.9429161548614502	2026-08-09_17-23-50	True	2026-08-09_17-23-50	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-50	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-50	[0 0 0 0 1 0]	2026-08-09_17-23-50	[0 1 0 1 1 0]	2026-08-09_17-23-50	[0]	2026-08-09_17-23-50	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-50	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-50	[0 0 0 0 1 1]	2026-08-09_17-23-50	[0 0 0 1 1 0]	2026-08-09_17-23-50	[0]	2026-08-09_17-23-50
0	2026-08-09_17-23-51	-1.0	2026-08-09_17-23-51	8.987308502197266	2026-08-09_17-23-51	2.5551459789276123	2026-08-09_17-23-51	2.5527830123901367	2026-08-09_17-23-51	1.9350181818008423	2026-08-09_17-23-51	1.9443613290786743	2026-08-09_17-23-51	True	2026-08-09_17-23-51	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-51	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-51	[0 0 0 0 1 1]	2026-08-09_17-23-51	[0 0 0 1 1 0]	2026-08-09_17-23-51	[0]	2026-08-09_17-23-51	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-51	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-51	[0 0 0 0 1 0]	2026-08-09_17-23-51	[0 0 0 1 1 1]	2026-08-09_17-23-51	[0]	2026-08-09_17-23-51
0	2026-08-09_17-23-52	-1.0	2026-08-09_17-23-52	8.99030876159668	2026-08-09_17-23-52	2.5569238662719727	2026-08-09_17-23-52	2.5540146827697754	2026-08-09_17-23-52	1.9349278211593628	2026-08-09_17-23-52	1.9444419145584106	2026-08-09_17-23-52	True	2026-08-09_17-23-52	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 1 1 1]	2026-08-09_17-23-52	[0]	2026-08-09_17-23-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 1 1 1]	2026-08-09_17-23-52	[0]	2026-08-09_17-23-52
0	2026-08-09_17-23-52	-1.0	2026-08-09_17-23-52	8.986006736755371	2026-08-09_17-23-52	2.556452989578247	2026-08-09_17-23-52	2.5509073734283447	2026-08-09_17-23-52	1.9340120553970337	2026-08-09_17-23-52	1.9446340799331665	2026-08-09_17-23-52	True	2026-08-09_17-23-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 1 1 1]	2026-08-09_17-23-52	[0]	2026-08-09_17-23-52	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 0 1 0]	2026-08-09_17-23-52	[0 1 0 1 1 0]	2026-08-09_17-23-52	[0]	2026-08-09_17-23-52
0	2026-08-09_17-23-52	-1.0	2026-08-09_17-23-52	8.990527153015137	2026-08-09_17-23-52	2.5579564571380615	2026-08-09_17-23-52	2.5541484355926514	2026-08-09_17-23-52	1.9349104166030884	2026-08-09_17-23-52	1.9435116052627563	2026-08-09_17-23-52	True	2026-08-09_17-23-52	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 0 1 0]	2026-08-09_17-23-52	[0 1 0 1 1 0]	2026-08-09_17-23-52	[0]	2026-08-09_17-23-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-52	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-52	[0 0 0 0 1 1]	2026-08-09_17-23-52	[0 0 0 1 1 0]	2026-08-09_17-23-52	[0]	2026-08-09_17-23-52
