date,checkpoint,dataRoot,l,m,numberOfCodes,kMin,spearman,spearmanLow,spearmanHigh,spearmanStratum,spearmanStratumLow,spearmanStratumHigh,stratumSize,regret1,regret1Low,regret1High,regret5,regret5Low,regret5High,regret10,regret10Low,regret10High,kMae,maeBefore,maeAfter,affineSlope,nll,noiseFloor,ece,labelReliability,labelCeiling
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_10-56-04/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,300000,6,0.8907939785259267,0.8898268177154375,0.8918205887495224,0.8907939785259267,0.8898268177154375,0.8918205887495224,300000,0.0027472499999999997,0.0014984999999999998,0.007492499999999999,0.0027472499999999997,0.0014984999999999998,0.006243749999999999,0.0027472499999999997,0.0014984999999999998,0.0042457499999999995,1.2864653175155323,0.0016648357805088682,0.0016570656240633844,0.9895051545755336,12.97475925657358,12.583081875606023,0.002091025293599143,0.8900014732535797,0.9433988940281729
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,300000,6,0.9058420240449817,0.904987046738858,0.9066609808509867,0.9058420240449817,0.904987046738858,0.9066609808509867,300000,0.007742249999999999,0.0034964999999999996,0.007742249999999999,0.0022477499999999997,0.0009989999999999999,0.006243749999999999,0.0022477499999999997,0.0009989999999999999,0.0037462500000000065,1.383378804532687,0.0015660048907203765,0.0015522996138669827,0.9969165039404698,12.945468263620835,12.583081875606023,0.00248654776159353,0.8900014732535797,0.9433988940281729
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,300000,6,0.9033857166043366,0.9024639241604433,0.9042434848754539,0.9033857166043366,0.9024639241604433,0.9042434848754539,300000,0.006743249999999999,0.0024974999999999928,0.011238749999999999,0.0022477499999999997,0.0009989999999999999,0.006743249999999999,0.0022477499999999997,0.0009989999999999999,0.0037462499999999926,1.3686784419083595,0.0015696824803425793,0.0015653693795804721,0.9579818424242904,12.946518095056238,12.583081875606023,0.0015383845779254955,0.8900014732535797,0.9433988940281729
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_10-56-04/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_9_m_6,9,6,300000,6,0.6422352918684457,0.6399665049924919,0.6445304133678535,0.776115769237398,0.7731679968482761,0.779233342701525,112967,0.016233750000000005,0.011738250000000013,0.028721250000000004,0.011738250000000013,0.009490499999999999,0.017982000000000005,0.011488500000000006,0.009240750000000013,0.016233750000000005,4.577904035317103,0.004122710748225855,0.0039937348476087415,0.9891930915296808,53.65668540208988,45.955099572556215,0.032871370070502344,0.9121777074340531,0.9550799481897069
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_9_m_6,9,6,300000,6,0.6196352527286644,0.6172640796257751,0.6220407240293176,0.7279296827478339,0.724358291082204,0.7318251214642396,112967,0.006493499999999999,0.0042457500000000065,0.018481499999999998,0.006493499999999999,0.0037462499999999996,0.009990000000000006,0.0042457500000000065,0.0019980000000000137,0.007992000000000006,4.629760934672356,0.004118184078279148,0.004080480040158895,0.9633767799405292,53.47865400738974,45.955099572556215,0.027613700946727243,0.9121777074340531,0.9550799481897069
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_9_m_6,9,6,300000,6,0.6230989409900402,0.620604518043072,0.6256259887569201,0.7462223099510624,0.742599712424514,0.7500647677675729,112967,0.033512607692307704,0.011238749999999992,0.03471525,0.013236749999999999,0.010989000000000006,0.03272464644230768,0.012737250000000006,0.009990000000000006,0.017982000000000005,4.5390124638160065,0.004215267530113106,0.004085354190909995,0.9067155337378564,54.24604917883484,45.955099572556215,0.03224846806751224,0.9121777074340531,0.9550799481897069
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_10-56-04/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_12_m_6,12,6,300000,6,0.593960430011654,0.5915070180587252,0.5965162503130421,0.7364294337037447,0.7332691675834226,0.7395210455395788,105429,0.032467499999999996,0.017107875,0.032467499999999996,0.017482499999999998,0.016733249999999998,0.030469499999999997,0.017482499999999998,0.015484499999999991,0.026972999999999997,4.154120481630167,0.0068342864892249255,0.003502857833843335,0.9641240936383986,12.395715600723022,8.734781681570274,0.06230043013681984,0.8937662711355339,0.9453921255942075
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_12_m_6,12,6,300000,6,0.5371870845104589,0.5344626742507432,0.5400293651629293,0.6534305969065397,0.6498430815198708,0.65732646052781,105429,0.006992999999999999,0.00036838124999999687,0.009365624999999995,0.0003746249999999965,0.0,0.008741249999999999,0.0003746249999999965,0.0,0.007998243749999993,5.039701944818496,0.005615819433401821,0.0036720412515256944,0.990677104198514,11.893111539796346,8.734781681570274,0.049735180160512565,0.8937662711355339,0.9453921255942075
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_12_m_6,12,6,300000,6,0.610189766082329,0.6076907268795625,0.6128089874612636,0.7572542039623915,0.7540060459654785,0.7604265750786061,105429,0.022976999999999997,0.010198124999999995,0.030219749999999997,0.010572749999999992,0.0012487499999999999,0.022976999999999997,0.0014984999999999998,0.0009990000000000068,0.022344300000000004,4.566617046593031,0.0070690556218305604,0.0034624234479666478,0.9060465285858951,12.426726734898896,8.734781681570274,0.06411051235605102,0.8937662711355339,0.9453921255942075
2026-07-22,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_10-56-04/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data//supervisedLearning/codeEvaluationTrainingData/l_15_m_3,15,3,17373,6,0.4037880839244065,0.39095645372617094,0.4171208455650456,0.4037880839244065,0.39095645372617094,0.4171208455650456,17373,0.014485500000000002,0.009989999999999999,0.020979000000000005,0.009490499999999999,0.008491499999999999,0.01798199999999999,0.009490499999999999,0.007991999999999999,0.010489499999999999,3.5425661861646063,0.007375379223763073,0.0030190245776857234,0.4405697358192569,201.52333936396855,129.49442058433314,0.06355853653007194,0.9028743216897501,0.9501969909917365
