# num_workers = 15
# num_cells = 256
# seed_for_environment = 1533185143
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = experiment_12_6_seed_1533185143.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 12
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_mix_66-96-126_H6_s5000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 15
# Does torch identify cuda: False
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-08_17-18-52	-1.0	2026-08-08_17-18-52	8.96174430847168	2026-08-08_17-18-52	2.550909996032715	2026-08-08_17-18-52	2.551577091217041	2026-08-08_17-18-52	1.928573489189148	2026-08-08_17-18-52	1.9306840896606445	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 1 0]	2026-08-08_17-18-52	[0 0 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-0.5	2026-08-08_17-18-52	8.975790023803711	2026-08-08_17-18-52	2.559055805206299	2026-08-08_17-18-52	2.5507473945617676	2026-08-08_17-18-52	1.9277397394180298	2026-08-08_17-18-52	1.9382468461990356	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-1.0	2026-08-08_17-18-52	8.973278999328613	2026-08-08_17-18-52	2.561413526535034	2026-08-08_17-18-52	2.5492000579833984	2026-08-08_17-18-52	1.9242092370986938	2026-08-08_17-18-52	1.9384558200836182	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-0.5	2026-08-08_17-18-52	8.970924377441406	2026-08-08_17-18-52	2.559196949005127	2026-08-08_17-18-52	2.550675392150879	2026-08-08_17-18-52	1.9232161045074463	2026-08-08_17-18-52	1.937835454940796	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-1.0	2026-08-08_17-18-52	8.97314453125	2026-08-08_17-18-52	2.5615310668945312	2026-08-08_17-18-52	2.547504186630249	2026-08-08_17-18-52	1.9252568483352661	2026-08-08_17-18-52	1.9388521909713745	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-0.5	2026-08-08_17-18-52	8.97526741027832	2026-08-08_17-18-52	2.5594682693481445	2026-08-08_17-18-52	2.549971342086792	2026-08-08_17-18-52	1.9272663593292236	2026-08-08_17-18-52	1.9385617971420288	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-1.0	2026-08-08_17-18-52	8.971441268920898	2026-08-08_17-18-52	2.5609006881713867	2026-08-08_17-18-52	2.5490496158599854	2026-08-08_17-18-52	1.9219698905944824	2026-08-08_17-18-52	1.939521312713623	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-0.5	2026-08-08_17-18-52	8.971043586730957	2026-08-08_17-18-52	2.559558629989624	2026-08-08_17-18-52	2.549726963043213	2026-08-08_17-18-52	1.923996090888977	2026-08-08_17-18-52	1.9377624988555908	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-1.0	2026-08-08_17-18-52	8.97422981262207	2026-08-08_17-18-52	2.5610666275024414	2026-08-08_17-18-52	2.5462515354156494	2026-08-08_17-18-52	1.9271459579467773	2026-08-08_17-18-52	1.9397656917572021	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52
0	2026-08-08_17-18-52	-0.5	2026-08-08_17-18-52	8.971781730651855	2026-08-08_17-18-52	2.558877944946289	2026-08-08_17-18-52	2.551379919052124	2026-08-08_17-18-52	1.9251614809036255	2026-08-08_17-18-52	1.9363622665405273	2026-08-08_17-18-52	True	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 1 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 0 0 0 0]	2026-08-08_17-18-52	[0]	2026-08-08_17-18-52	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-52	[0 1 0 0 1 1 0 0 0 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 1 0]	2026-08-08_17-18-52	[0 1 1 0 0 0]	2026-08-08_17-18-52	[6]	2026-08-08_17-18-52
