date,checkpoint,dataRoot,l,m,numberOfCodes,kMin,inSample,spearman,spearmanLow,spearmanHigh,spearmanStratum,spearmanStratumLow,spearmanStratumHigh,stratumSize,regret1,regret1Low,regret1High,regret5,regret5Low,regret5High,regret10,regret10Low,regret10High,kMae,maeBefore,maeAfter,affineSlope,nll,noiseFloor,ece,labelReliability,labelCeiling
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_10-56-04/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,,0.8911177274607879,0.8893035371846068,0.8928879215206305,0.8911177274607879,0.8893035371846068,0.8928879215206305,100000,0.006743249999999999,0.0029970000000000066,0.006743249999999999,0.0029970000000000066,0.000998999999999993,0.006243749999999992,0.0012487499999999999,0.00024974999999999303,0.003752493749999994,1.289694261894226,0.00166110907350553,0.0016534653221948051,0.9878441498589455,13.001501371938872,12.60876523338691,0.002142558509143491,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,,0.905803593708492,0.9043253302636134,0.9072451794649495,0.905803593708492,0.9043253302636134,0.9072451794649495,100000,0.0039959999999999996,0.0027472499999999997,0.007242749999999999,0.0039959999999999996,0.001498499999999986,0.005993999999999999,0.0019980000000000067,0.0007492500000000069,0.0049949999999999994,1.3846560833501815,0.0015637035001453254,0.001550327120649787,0.9960731888486862,12.972130595287593,12.60876523338691,0.0025260270128314053,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,,0.903828716511259,0.9023177777282277,0.9053233243155452,0.903828716511259,0.9023177777282277,0.9053233243155452,100000,0.005993999999999999,0.0014985000000000068,0.006493499999999999,0.0019980000000000067,0.0007492500000000069,0.005993999999999999,0.0019980000000000067,0.0007492500000000069,0.0039959999999999996,1.3730910013389588,0.0015663454279174875,0.0015618414552472759,0.9575423586038936,12.972658671964986,12.60876523338691,0.0015371802927731546,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/mixed66-96_seed0.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.6902080535421566,0.6860917269000427,0.6940639547964123,0.6902080535421566,0.6860917269000427,0.6940639547964123,100000,0.007492499999999999,0.006243749999999999,0.031468499999999996,0.007492499999999999,0.006243749999999999,0.016483499999999998,0.007492499999999999,0.001997999999999986,0.011987999999999999,2.114929404525757,0.0029105371067375775,0.002892312236312609,1.0002589367141261,13.508052257596306,12.60876523338691,0.0025403572406593267,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/mixed66-96_seed1.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.6168431240895152,0.6116068162378582,0.6214539063283082,0.6168431240895152,0.6116068162378582,0.6214539063283082,100000,0.011488499999999999,0.006493499999999999,0.03172449375,0.006992999999999999,0.005744249999999999,0.010988999999999999,0.006992999999999999,0.0024974999999999997,0.010655999999999999,2.188189620256424,0.0031523779265015374,0.0031694527357762985,0.8782870236655511,13.677598695484585,12.60876523338691,0.003026545501235479,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/mixed66-96_seed2.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.6666221317640596,0.6621691936242138,0.6706549915031047,0.6666221317640596,0.6621691936242138,0.6706549915031047,100000,0.020229749999999998,0.009989999999999999,0.03321675,0.010489499999999999,0.007742249999999992,0.020229749999999998,0.007742249999999992,0.006743249999999985,0.011987999999999999,2.13121075009346,0.0030420329545431564,0.003039301450036389,1.0197337714170793,13.559696803550484,12.60876523338691,0.003578744936545226,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/pure_2026-07-12_10-56-04.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.8594524638468684,0.8571813427626341,0.8616755437818064,0.8594524638468684,0.8571813427626341,0.8616755437818064,100000,0.009989999999999999,0.0029969999999999997,0.009989999999999999,0.0034964999999999996,0.00024974999999999303,0.009490499999999999,0.0012487499999999999,0.0,0.0039959999999999996,1.372616316757202,0.00215995118862619,0.0018831430738351414,1.0592873141750498,13.145211164389396,12.60876523338691,0.010756900814193577,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/anchored_2026-07-12_10-56-04.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.8920452684854451,0.8903354446751645,0.8937580722615762,0.8920452684854451,0.8903354446751645,0.8937580722615762,100000,0.006743249999999999,0.0024974999999999928,0.006743249999999999,0.0034964999999999996,0.0017482500000000065,0.0054944999999999924,0.0029969999999999997,0.0007492499999999999,0.0034964999999999996,1.3657783708429336,0.0016517766019794363,0.0016494704037747856,0.9675102787245682,12.996158263978362,12.60876523338691,0.001506794135947286,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/pure_2026-07-12_20-18-32.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.874865624855063,0.8728982413533983,0.8768204420738032,0.874865624855063,0.8728982413533983,0.8768204420738032,100000,0.015983999999999998,0.010988999999999999,0.015983999999999998,0.006368624999999996,0.0029969999999999927,0.013486499999999998,0.0034964999999999927,0.0007492499999999999,0.006992999999999999,1.5422720110678674,0.002173597283014792,0.0017911566474212693,1.0584641243297817,13.157811327684348,12.60876523338691,0.011849146845908825,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/anchored_2026-07-12_20-18-32.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.9043983031403601,0.9028527498915006,0.9059204775108007,0.9043983031403601,0.9028527498915006,0.9059204775108007,100000,0.0039959999999999996,0.001498499999999986,0.006493499999999999,0.0024974999999999928,0.001248749999999993,0.005494499999999999,0.0024974999999999928,0.0009989999999999999,0.0039959999999999996,1.5180887422847749,0.0015748487905996441,0.0015620069341315428,0.983682778446584,12.976728848432554,12.60876523338691,0.0025972617069002983,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/pure_2026-07-12_21-15-58.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.86162282371136,0.8594269421713466,0.8637533820521768,0.86162282371136,0.8594269421713466,0.8637533820521768,100000,0.0044954999999999995,0.0032467499999999996,0.008491499999999999,0.003995999999999993,0.002996999999999986,0.005993999999999999,0.003995999999999993,0.002741006249999993,0.005993999999999999,1.518546473093033,0.002022472434241204,0.001892775700555726,1.039603072660818,13.106016589837173,12.60876523338691,0.006544430153571066,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/grounding/anchored_2026-07-12_21-15-58.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_6_m_6,6,6,100000,6,True,0.9031318744961166,0.9016070120230915,0.9046098382474125,0.9031318744961166,0.9016070120230915,0.9046098382474125,100000,0.006493499999999999,0.0029907562499999867,0.008491499999999999,0.0017482499999999998,0.000749249999999993,0.0049949999999999994,0.0017482499999999998,0.0004994999999999999,0.0039959999999999996,1.5147948608541488,0.001577631338876534,0.0015702544599086766,0.9694900152153543,12.976738534578436,12.60876523338691,0.0018069612482876903,0.8892888471113567,0.9430211276060344
2026-07-25,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_10-56-04/surrogate_6x6.pth,/vol/bitbucket/osella/rl-qecc-data/supervisedLearning/codeEvaluationTrainingData/l_9_m_6,9,6,100000,6,,0.6436494957119587,0.6397724364195408,0.6478113303953824,0.7784890767183495,0.7733615810177139,0.7841696527627413,37669,0.018980999999999998,0.008991000000000006,0.027971999999999997,0.010988999999999999,0.007492500000000006,0.018980999999999998,0.010988999999999999,0.007492500000000006,0.017232749999999998,4.571839107065201,0.004122700813007946,0.003990835935640064,0.9884535811797749,55.5253101056945,47.533232923578275,0.03333755469144581,0.9125583601190178,0.9552792053211552
