# num_workers = 15
# num_cells = 256
# seed_for_environment = 1533185143
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = experiment_12_6_seed_1533185143.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 12
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_mix_66-96-126_H6_s6000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 15
# Does torch identify cuda: False
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.959839820861816	2026-08-08_17-18-42	2.535694122314453	2026-08-08_17-18-42	2.5504374504089355	2026-08-08_17-18-42	1.9307059049606323	2026-08-08_17-18-42	1.9430018663406372	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.9863862991333	2026-08-08_17-18-42	2.5540170669555664	2026-08-08_17-18-42	2.5580618381500244	2026-08-08_17-18-42	1.9374122619628906	2026-08-08_17-18-42	1.9368950128555298	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 1 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.972539901733398	2026-08-08_17-18-42	2.5417861938476562	2026-08-08_17-18-42	2.552008628845215	2026-08-08_17-18-42	1.9367294311523438	2026-08-08_17-18-42	1.9420157670974731	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 1 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 1 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.981688499450684	2026-08-08_17-18-42	2.548678398132324	2026-08-08_17-18-42	2.5520308017730713	2026-08-08_17-18-42	1.9372161626815796	2026-08-08_17-18-42	1.943763017654419	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 1 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 1 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.993125915527344	2026-08-08_17-18-42	2.551412582397461	2026-08-08_17-18-42	2.5577163696289062	2026-08-08_17-18-42	1.9425472021102905	2026-08-08_17-18-42	1.9414499998092651	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 1 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.976968765258789	2026-08-08_17-18-42	2.55102801322937	2026-08-08_17-18-42	2.55210018157959	2026-08-08_17-18-42	1.9333845376968384	2026-08-08_17-18-42	1.9404562711715698	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.9698486328125	2026-08-08_17-18-42	2.5477077960968018	2026-08-08_17-18-42	2.550182819366455	2026-08-08_17-18-42	1.9316649436950684	2026-08-08_17-18-42	1.9402923583984375	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.976581573486328	2026-08-08_17-18-42	2.552961826324463	2026-08-08_17-18-42	2.5527946949005127	2026-08-08_17-18-42	1.9314548969268799	2026-08-08_17-18-42	1.9393701553344727	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.973763465881348	2026-08-08_17-18-42	2.545207977294922	2026-08-08_17-18-42	2.553745985031128	2026-08-08_17-18-42	1.934005618095398	2026-08-08_17-18-42	1.9408037662506104	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.99283218383789	2026-08-08_17-18-42	2.5540099143981934	2026-08-08_17-18-42	2.5577504634857178	2026-08-08_17-18-42	1.9404820203781128	2026-08-08_17-18-42	1.9405900239944458	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 0]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
