@beech11 CPU 16 11.49
@beech11 MEM 13864 10701
@beech11 GPU 0, 82, 4096
@beech11 PS 1049209  0.1 11676 systemd
@beech11 PS 1049210  0.0  3436 (sd-pam)
@beech11 PS 1049221  0.0  6768 pipewire
@beech11 PS 1049222  0.0  4820 pipewire
@beech11 PS 1049224  0.0 13828 wireplumber
@beech11 PS 1049226  0.0  8276 pipewire-pulse
@beech11 PS 1049242  0.0  4244 dbus-daemon
@beech11 PS 1049280  0.0  3228 bash
@beech11 PS 1049285  0.0  2176 bash
@beech11 PS 1049295  0.0  2008 bash
@beech11 PS 1049300  0.0  1956 timeout
@beech11 PS 1049302 99.7 2132424 python
@beech11 PS 1049332  0.0  1956 timeout
@beech11 PS 1049334 99.7 2132764 python
@beech11 PS 1049353  0.0  1960 timeout
@beech11 PS 1049355 99.7 2138520 python
@beech11 PS 1049390  0.0  1960 timeout
@beech11 PS 1049392 99.7 2145564 python
@beech11 PS 1049640  0.0  5856 python
@beech11 PS 1049641  0.0  6012 python
@beech11 PS 1049642  0.0  5972 python
@beech11 PS 1049643  0.0  5856 python
@beech11 PS 1049644 57.2 535056 python
@beech11 PS 1049645 36.4 534712 python
@beech11 PS 1049646 34.4 533128 python
@beech11 PS 1049647 23.6 533268 python
@beech11 PS 1049648 48.0 532164 python
@beech11 PS 1049649 22.5 536136 python
@beech11 PS 1049650 20.9 537344 python
@beech11 PS 1049651 72.7 550620 python
@beech11 PS 1049652 96.4 570904 python
@beech11 PS 1049653 82.8 566776 python
@beech11 PS 1049654 99.3 563096 python
@beech11 PS 1049655 54.3 573892 python
@beech11 PS 1215021  0.0  2080 sleep
@beech11 PS 1218742  0.0  2080 sleep
@beech11 PS 1221939  0.0  6996 sshd
@beech11 PS 1221940  0.0  3616 bash
@beech11 PS 1221951  0.0  4620 ps
@beech11 PS 1221952  0.0  2328 sed
@beech11 SIZE 8 21,18
@beech11 SEEN 1785183076
