@beech05 CPU 16 11.00
@beech05 MEM 13864 9476
@beech05 GPU 0, 82, 4096
@beech05 PS 3145320  0.1 11432 systemd
@beech05 PS 3145321  0.0  3444 (sd-pam)
@beech05 PS 3145332  0.0  6624 pipewire
@beech05 PS 3145333  0.0  4740 pipewire
@beech05 PS 3145336  0.0 13656 wireplumber
@beech05 PS 3145338  0.0  7940 pipewire-pulse
@beech05 PS 3145351  0.0  4180 dbus-daemon
@beech05 PS 3145401  0.0  3252 bash
@beech05 PS 3145406  0.0  2212 bash
@beech05 PS 3145416  0.0  1916 bash
@beech05 PS 3145421  0.0  1928 timeout
@beech05 PS 3145423 99.6 2115156 python
@beech05 PS 3145466  0.0  1924 timeout
@beech05 PS 3145468 99.6 2115396 python
@beech05 PS 3145487  0.0  1948 timeout
@beech05 PS 3145489 99.6 2130436 python
@beech05 PS 3145507  0.0  1948 timeout
@beech05 PS 3145509 99.6 2144356 python
@beech05 PS 3145862  0.0  6140 python
@beech05 PS 3145863  0.0  6140 python
@beech05 PS 3145864  0.0  6160 python
@beech05 PS 3145865  0.0  6104 python
@beech05 PS 3145866 76.4 420320 python
@beech05 PS 3145867 94.3 413764 python
@beech05 PS 3145868 69.3 421192 python
@beech05 PS 3145869 55.5 410292 python
@beech05 PS 3145870 97.6 419672 python
@beech05 PS 3145871 46.0 415284 python
@beech05 PS 3145872 82.4 423828 python
@beech05 PS 3145873 26.6 418372 python
@beech05 PS 3145874 37.3 411652 python
@beech05 PS 3145875 36.8 446596 python
@beech05 PS 3145876 36.6 454672 python
@beech05 PS 3145877 31.3 443892 python
@beech05 PS 3310408  0.0  2068 sleep
@beech05 PS 3310474  0.0  2080 sleep
@beech05 PS 3311265  0.0  6984 sshd
@beech05 PS 3311266  0.0  3616 bash
@beech05 PS 3311285  0.0  4640 ps
@beech05 PS 3311286  0.0  2320 sed
@beech05 SIZE 8 21,18
@beech05 SEEN 1785182561
