@willow05 CPU 16 2.49
@willow05 MEM 15813 6855
@willow05 GPU 0, 89, 4096
@willow05 PS 1537491  0.1 11940 systemd
@willow05 PS 1537492  0.0  3420 (sd-pam)
@willow05 PS 1537503  0.0  8832 pipewire
@willow05 PS 1537504  0.0  6120 pipewire
@willow05 PS 1537506  0.0 15864 wireplumber
@willow05 PS 1537508  0.0 10664 pipewire-pulse
@willow05 PS 1537529  0.0  4536 dbus-daemon
@willow05 PS 1537581  0.0  3592 bash
@willow05 PS 1537616  0.0  3640 bash
@willow05 PS 1537626  0.0  2132 bash
@willow05 PS 1537630  0.0  2128 timeout
@willow05 PS 1537639  0.4 824044 python
@willow05 PS 1545962  0.0  2076 sleep
@willow05 PS 1549634  0.0  2080 sleep
@willow05 PS 1549891  0.0 10960 python
@willow05 PS 1549893  2.0 464740 python
@willow05 PS 1549894  2.0 466316 python
@willow05 PS 1550423  0.0  7060 sshd
@willow05 PS 1550424  0.0  3576 bash
@willow05 PS 1550442  0.0  4644 ps
@willow05 PS 1550443  0.0  2316 sed
@willow05 SEEN 1784988049
