@beech06 CPU 16 9.26
@beech06 MEM 13864 9686
@beech06 GPU 0, 4, 4096
@beech06 PS   38798  0.0  3588 bash
@beech06 PS   38803  0.0  3604 bash
@beech06 PS   38814  0.0  2076 bash
@beech06 PS   38819  0.0  2116 timeout
@beech06 PS   38821 99.7 1214752 python
@beech06 PS   38823  0.0  2120 timeout
@beech06 PS   38825 99.7 1195100 python
@beech06 PS   38827  0.0  2116 timeout
@beech06 PS   38829 99.7 1227876 python
@beech06 PS   38832  0.0  2120 timeout
@beech06 PS   38834 99.7 1223116 python
@beech06 PS   38871  0.0 11040 python
@beech06 PS   38872  0.0 11040 python
@beech06 PS   38873  0.0 11072 python
@beech06 PS   38874 46.7 793132 python
@beech06 PS   38875 47.3 794128 python
@beech06 PS   38876 45.6 793156 python
@beech06 PS   38877 47.2 793712 python
@beech06 PS   38878 46.5 791252 python
@beech06 PS   38879 46.9 794060 python
@beech06 PS   38880 48.0 790464 python
@beech06 PS   38881 48.5 788124 python
@beech06 PS   38882  0.0 11008 python
@beech06 PS   38883 47.6 794204 python
@beech06 PS   38884 47.3 790988 python
@beech06 PS   38885 47.5 794144 python
@beech06 PS   38886 49.0 790952 python
@beech06 PS   82121  0.0  2068 sleep
@beech06 PS   82218  0.0  2068 sleep
@beech06 PS   83151  0.0  2068 sleep
@beech06 PS   83397  0.0  7016 sshd
@beech06 PS   83398  0.0  3584 bash
@beech06 PS   83409  0.0  4552 ps
@beech06 PS   83410  0.0  2316 sed
@beech06 PS 4045262  0.1 11616 systemd
@beech06 PS 4045263  0.0  2968 (sd-pam)
@beech06 PS 4045274  0.0  6584 pipewire
@beech06 PS 4045275  0.0  4808 pipewire
@beech06 PS 4045276  0.0 12548 wireplumber
@beech06 PS 4045279  0.0  8308 pipewire-pulse
@beech06 PS 4045295  0.0  4284 dbus-daemon
@beech06 PS 4045386  0.0  2008 bash
@beech06 SEEN 1785165667
