@ash14 CPU 16 11.00
@ash14 MEM 15909 10549
@ash14 GPU 0, 93, 2048
@ash14 PS 2962976  0.1 11392 systemd
@ash14 PS 2962977  0.0  3428 (sd-pam)
@ash14 PS 2962996  0.0  6552 pipewire
@ash14 PS 2962997  0.0  4644 pipewire
@ash14 PS 2962999  0.0 13712 wireplumber
@ash14 PS 2963001  0.0  8272 pipewire-pulse
@ash14 PS 2963016  0.0  4292 dbus-daemon
@ash14 PS 2963056  0.0  3292 bash
@ash14 PS 2963061  0.0  2252 bash
@ash14 PS 2963071  0.0  1940 bash
@ash14 PS 2963076  0.0  1900 timeout
@ash14 PS 2963078 99.7 2076508 python
@ash14 PS 2963096  0.0  1876 timeout
@ash14 PS 2963098 99.7 2074600 python
@ash14 PS 2963134  0.0  1864 timeout
@ash14 PS 2963136 99.7 2088512 python
@ash14 PS 2963154  0.0  1880 timeout
@ash14 PS 2963156 99.7 2098520 python
@ash14 PS 2963451  0.0  6028 python
@ash14 PS 2963452  0.0  5932 python
@ash14 PS 2963453  0.0  6028 python
@ash14 PS 2963454  0.0  6024 python
@ash14 PS 2963455 67.3 464708 python
@ash14 PS 2963456 27.5 473576 python
@ash14 PS 2963457 96.2 485400 python
@ash14 PS 2963458 62.0 466136 python
@ash14 PS 2963459 68.0 478272 python
@ash14 PS 2963460 35.1 465384 python
@ash14 PS 2963461 48.8 473892 python
@ash14 PS 2963462 24.0 484228 python
@ash14 PS 2963463 64.1 499448 python
@ash14 PS 2963464 76.8 503668 python
@ash14 PS 2963465 11.1 511808 python
@ash14 PS 2963466 26.6 503180 python
@ash14 PS 3136166  0.0  1984 sleep
@ash14 PS 3136231  0.0  2016 sleep
@ash14 PS 3137539  0.0  6932 sshd
@ash14 PS 3137540  0.0  3576 bash
@ash14 PS 3137551  100  4512 ps
@ash14 PS 3137552  0.0  2264 sed
@ash14 SIZE 8 21,18
@ash14 SEEN 1785183068
