@oak33 CPU 16 12.55
@oak33 MEM 15766 11868
@oak33 GPU 0, 88, 2048
@oak33 PS 1511483  0.1 11164 systemd
@oak33 PS 1511484  0.0  2880 (sd-pam)
@oak33 PS 1511495  0.0  6008 pipewire
@oak33 PS 1511496  0.0  4400 pipewire
@oak33 PS 1511498  0.0 13328 wireplumber
@oak33 PS 1511500  0.0  7440 pipewire-pulse
@oak33 PS 1511521  0.0  3564 dbus-daemon
@oak33 PS 1511554  0.0  3228 bash
@oak33 PS 1511559  0.0  2160 bash
@oak33 PS 1511569  0.0   880 bash
@oak33 PS 1511570  0.0  1856 sleep
@oak33 PS 1511574  0.0  1888 timeout
@oak33 PS 1511576 88.3 1840788 python
@oak33 PS 1511593  0.0  1900 timeout
@oak33 PS 1511595 88.4 1832536 python
@oak33 PS 1511637  0.0  1892 timeout
@oak33 PS 1511639 88.5 1835356 python
@oak33 PS 1511658  0.0  1896 timeout
@oak33 PS 1511660 89.1 1839524 python
@oak33 PS 1512254  0.0  4260 python
@oak33 PS 1512255  0.0  4224 python
@oak33 PS 1512256  0.0  4200 python
@oak33 PS 1512257  0.0  4180 python
@oak33 PS 1512258 92.8 396932 python
@oak33 PS 1512259 35.0 398848 python
@oak33 PS 1512260 96.8 398500 python
@oak33 PS 1512261 85.2 393508 python
@oak33 PS 1512262 30.2 387560 python
@oak33 PS 1512263 64.0 396700 python
@oak33 PS 1512264 93.1 394952 python
@oak33 PS 1512265 63.8 394628 python
@oak33 PS 1512266 96.3 394540 python
@oak33 PS 1512267 96.9 393452 python
@oak33 PS 1512268 97.1 395708 python
@oak33 PS 1512269 76.7 394848 python
@oak33 PS 1515235  0.0  2020 sleep
@oak33 PS 1521224  0.0  6984 sshd
@oak33 PS 1521225  0.0  3572 bash
@oak33 PS 1521236  100  4552 ps
@oak33 PS 1521237  0.0  2304 sed
@oak33 SIZE 8 21,18
@oak33 SEEN 1785182661
