@ash20 CPU 16 9.07
@ash20 MEM 15909 9897
@ash20 GPU 0, 98, 2048
@ash20 PS 2196806  0.1 11612 systemd
@ash20 PS 2196807  0.0  3420 (sd-pam)
@ash20 PS 2196819  0.0  6308 pipewire
@ash20 PS 2196820  0.0  4572 pipewire
@ash20 PS 2196822  0.0 13092 wireplumber
@ash20 PS 2196824  0.0  8008 pipewire-pulse
@ash20 PS 2196839  0.0  4036 dbus-daemon
@ash20 PS 2196886  0.0  3484 bash
@ash20 PS 2196891  0.0  2636 bash
@ash20 PS 2196901  0.0  1972 bash
@ash20 PS 2196906  0.0  1964 timeout
@ash20 PS 2196908 99.9 2287420 python
@ash20 PS 2196930  0.0  1968 timeout
@ash20 PS 2196932 99.9 2280412 python
@ash20 PS 2196958  0.0  1968 timeout
@ash20 PS 2196960 99.9 2185940 python
@ash20 PS 2196996  0.0  1964 timeout
@ash20 PS 2196998 99.9 2240032 python
@ash20 PS 2197298  0.0  6244 python
@ash20 PS 2197299  0.0  6276 python
@ash20 PS 2197300  0.0  6204 python
@ash20 PS 2197301  0.0  6284 python
@ash20 PS 2197302 44.3 441380 python
@ash20 PS 2197303 40.9 479292 python
@ash20 PS 2197304 19.5 437280 python
@ash20 PS 2197305 27.4 432240 python
@ash20 PS 2197306 53.9 474436 python
@ash20 PS 2197307 65.2 434468 python
@ash20 PS 2197308 62.5 432184 python
@ash20 PS 2197309 71.2 440640 python
@ash20 PS 2197310 63.9 430704 python
@ash20 PS 2197311 69.7 440644 python
@ash20 PS 2197312 36.7 476220 python
@ash20 PS 2197313 35.7 445936 python
@ash20 PS 2927343  0.0  2084 sleep
@ash20 PS 2933434  0.0  2080 sleep
@ash20 PS 2933532  0.0  7024 sshd
@ash20 PS 2933533  0.0  3588 bash
@ash20 PS 2933544  0.0  4652 ps
@ash20 PS 2933545  0.0  2324 sed
@ash20 SIZE 8 21,18
@ash20 SEEN 1785225890
