@oak34 CPU 16 11.05
@oak34 MEM 15766 11876
@oak34 GPU 0, 88, 2048
@oak34 PS 1283901  0.1 11720 systemd
@oak34 PS 1283902  0.0  3204 (sd-pam)
@oak34 PS 1283921  0.0  6228 pipewire
@oak34 PS 1283922  0.0  4512 pipewire
@oak34 PS 1283924  0.0 13448 wireplumber
@oak34 PS 1283926  0.0  7760 pipewire-pulse
@oak34 PS 1283945  0.0  3916 dbus-daemon
@oak34 PS 1283980  0.0  3312 bash
@oak34 PS 1283985  0.0  2228 bash
@oak34 PS 1283995  0.0   892 bash
@oak34 PS 1283996  0.0  1896 sleep
@oak34 PS 1284000  0.0  1956 timeout
@oak34 PS 1284002 87.7 1821860 python
@oak34 PS 1284024  0.0  1956 timeout
@oak34 PS 1284026 88.0 1813404 python
@oak34 PS 1284044  0.0  1956 timeout
@oak34 PS 1284046 88.2 1821652 python
@oak34 PS 1284065  0.0  1956 timeout
@oak34 PS 1284067 88.5 1827552 python
@oak34 PS 1284757  0.0  4540 python
@oak34 PS 1284758  0.0  4536 python
@oak34 PS 1284759  0.0  4540 python
@oak34 PS 1284760  0.0  4536 python
@oak34 PS 1284761 91.1 385568 python
@oak34 PS 1284762 91.7 382648 python
@oak34 PS 1284763  1.7 379816 python
@oak34 PS 1284764 80.7 366332 python
@oak34 PS 1284765  1.6 379888 python
@oak34 PS 1284766 27.2 364432 python
@oak34 PS 1284767 49.5 367400 python
@oak34 PS 1284768 85.0 386580 python
@oak34 PS 1284769 97.1 364980 python
@oak34 PS 1284770 95.1 376044 python
@oak34 PS 1284771 28.7 382596 python
@oak34 PS 1284772 97.1 383900 python
@oak34 PS 1287765  0.0  2080 sleep
@oak34 PS 1292257  0.0  7084 sshd
@oak34 PS 1292258  0.0  3624 bash
@oak34 PS 1292269  0.0  4664 ps
@oak34 PS 1292270  0.0  2332 sed
@oak34 SIZE 8 21,18
@oak34 SEEN 1785182661
