@ash33 CPU 16 9.09
@ash33 MEM 15909 10377
@ash33 GPU 0, 92, 2048
@ash33 PS  123922  0.1 11316 systemd
@ash33 PS  123923  0.0  3368 (sd-pam)
@ash33 PS  123934  0.0  6096 pipewire
@ash33 PS  123935  0.0  4360 pipewire
@ash33 PS  123938  0.0 13424 wireplumber
@ash33 PS  123939  0.0  7536 pipewire-pulse
@ash33 PS  123954  0.0  3784 dbus-daemon
@ash33 PS  123995  0.0  3260 bash
@ash33 PS  124000  0.0  2260 bash
@ash33 PS  124010  0.0  1932 bash
@ash33 PS  124015  0.0  1964 timeout
@ash33 PS  124017 99.7 2139448 python
@ash33 PS  124040  0.0  1960 timeout
@ash33 PS  124042 99.7 2126400 python
@ash33 PS  124059  0.0  1928 timeout
@ash33 PS  124061 99.7 2132144 python
@ash33 PS  124092  0.0  1968 timeout
@ash33 PS  124094 99.7 2137220 python
@ash33 PS  124385  0.0  5952 python
@ash33 PS  124386  0.0  6008 python
@ash33 PS  124387  0.0  6044 python
@ash33 PS  124388  0.0  6032 python
@ash33 PS  124397 22.2 505164 python
@ash33 PS  124398 27.4 497712 python
@ash33 PS  124399  0.0 495396 python
@ash33 PS  124400 78.0 504840 python
@ash33 PS  124401 21.0 497892 python
@ash33 PS  124402 28.4 500452 python
@ash33 PS  124403 77.4 497920 python
@ash33 PS  124404 18.2 498556 python
@ash33 PS  124405 20.3 492376 python
@ash33 PS  124406 81.5 498272 python
@ash33 PS  124407 77.8 503396 python
@ash33 PS  124408 61.7 528904 python
@ash33 PS  326906  0.0  2080 sleep
@ash33 PS  330658  0.0  2080 sleep
@ash33 PS  334198  0.0  6972 sshd
@ash33 PS  334199  0.0  3572 bash
@ash33 PS  334210  0.0  4592 ps
@ash33 PS  334211  0.0  2328 sed
@ash33 SIZE 8 21,18
@ash33 SEEN 1785185415
