@oak08 CPU 16 9.33
@oak08 MEM 15766 11488
@oak08 GPU 0, 92, 2048
@oak08 PS  439963  0.1 11412 systemd
@oak08 PS  439964  0.0  3404 (sd-pam)
@oak08 PS  440005  0.0  5888 pipewire
@oak08 PS  440006  0.0  4848 pipewire
@oak08 PS  440007  0.0 13560 wireplumber
@oak08 PS  440010  0.0  8164 pipewire-pulse
@oak08 PS  440032  0.0  4212 dbus-daemon
@oak08 PS  440065  0.0  3240 bash
@oak08 PS  440070  0.0  2196 bash
@oak08 PS  440080  0.0  1972 bash
@oak08 PS  440085  0.0  1952 timeout
@oak08 PS  440087 86.8 1832476 python
@oak08 PS  440105  0.0  1940 timeout
@oak08 PS  440107 87.1 1829800 python
@oak08 PS  440125  0.0  1928 timeout
@oak08 PS  440127 87.4 1839060 python
@oak08 PS  440195  0.0  1964 timeout
@oak08 PS  440197 87.6 1838784 python
@oak08 PS  441035  0.0  4952 python
@oak08 PS  441036  0.0  5004 python
@oak08 PS  441037  0.0  4976 python
@oak08 PS  441038  0.0  4964 python
@oak08 PS  441039 31.5 362328 python
@oak08 PS  441040 95.4 348272 python
@oak08 PS  441041 30.2 335204 python
@oak08 PS  441042  1.7 352748 python
@oak08 PS  441043 38.5 358880 python
@oak08 PS  441044 78.0 353632 python
@oak08 PS  441045 34.8 364856 python
@oak08 PS  441046 51.9 348400 python
@oak08 PS  441047 54.7 334816 python
@oak08 PS  441048 73.0 346252 python
@oak08 PS  441049 97.6 339540 python
@oak08 PS  441050 95.4 355844 python
@oak08 PS  448249  0.0  2080 sleep
@oak08 PS  448252  0.0  2072 sleep
@oak08 PS  448938  0.0  7088 sshd
@oak08 PS  448939  0.0  3564 bash
@oak08 PS  448958  0.0  4616 ps
@oak08 PS  448959  0.0  2332 sed
@oak08 SIZE 8 21,18
@oak08 SEEN 1785182648
