@ash29 CPU 16 1.00
@ash29 MEM 15909 1350
@ash29 GPU 0, 84, 2048
@ash29 PS 1355133  0.1 11812 systemd
@ash29 PS 1355134  0.0  3284 (sd-pam)
@ash29 PS 1355146  0.0  7440 pipewire
@ash29 PS 1355147  0.0  5348 pipewire
@ash29 PS 1355149  0.0 15428 wireplumber
@ash29 PS 1355151  0.0 10024 pipewire-pulse
@ash29 PS 1355167  0.0  4324 dbus-daemon
@ash29 PS 1355275  0.0  3116 bash
@ash29 PS 1355306  0.0  2204 bash
@ash29 PS 1355316  0.0  1952 bash
@ash29 PS 1355320  0.0  1900 timeout
@ash29 PS 1355321  0.4 657428 python
@ash29 PS 1362811  0.0  2056 sleep
@ash29 PS 1366364  0.0  2044 sleep
@ash29 PS 1367416  0.0  6948 sshd
@ash29 PS 1367417  0.0  3532 bash
@ash29 PS 1367435  0.0  4512 ps
@ash29 PS 1367436  0.0  2296 sed
@ash29 SEEN 1784987539
