@ash26 CPU 16 9.00
@ash26 MEM 15909 10380
@ash26 GPU 0, 92, 2048
@ash26 PS 2290423  0.1 11392 systemd
@ash26 PS 2290424  0.0  3444 (sd-pam)
@ash26 PS 2290437  0.0  6600 pipewire
@ash26 PS 2290438  0.0  4724 pipewire
@ash26 PS 2290439  0.0 12584 wireplumber
@ash26 PS 2290442  0.0  8116 pipewire-pulse
@ash26 PS 2290458  0.0  4080 dbus-daemon
@ash26 PS 2290496  0.0  3152 bash
@ash26 PS 2290501  0.0  2104 bash
@ash26 PS 2290511  0.0  1884 bash
@ash26 PS 2290516  0.0  1884 timeout
@ash26 PS 2290518 99.7 2151240 python
@ash26 PS 2290552  0.0  1884 timeout
@ash26 PS 2290554 99.7 2145772 python
@ash26 PS 2290663  0.0  1884 timeout
@ash26 PS 2290665 99.7 2159300 python
@ash26 PS 2290700  0.0  1884 timeout
@ash26 PS 2290702 99.8 2164484 python
@ash26 PS 2291062  0.0  5956 python
@ash26 PS 2291063  0.0  5996 python
@ash26 PS 2291064  0.0  5972 python
@ash26 PS 2291065  0.0  5984 python
@ash26 PS 2291066 72.2 538628 python
@ash26 PS 2291067 53.3 503636 python
@ash26 PS 2291068  0.0 526904 python
@ash26 PS 2291069 70.3 503296 python
@ash26 PS 2291070  4.7 501984 python
@ash26 PS 2291071  4.5 504820 python
@ash26 PS 2291072 53.5 512200 python
@ash26 PS 2291073 61.3 502516 python
@ash26 PS 2291074 95.3 501824 python
@ash26 PS 2291075 46.8 511984 python
@ash26 PS 2291076 62.3 501704 python
@ash26 PS 2291077 52.2 509868 python
@ash26 PS 2572401  0.0  2072 sleep
@ash26 PS 2576099  0.0  2076 sleep
@ash26 PS 2577977  0.0  6872 sshd
@ash26 PS 2577978  0.0  3596 bash
@ash26 PS 2577989  0.0  4568 ps
@ash26 PS 2577990  0.0  2288 sed
@ash26 SIZE 8 21,18
@ash26 SEEN 1785191862
