@beech16 CPU 16 10.01
@beech16 MEM 15880 9726
@beech16 GPU 0, 82, 4096
@beech16 PS 3178622  0.1 11724 systemd
@beech16 PS 3178623  0.0  3388 (sd-pam)
@beech16 PS 3178634  0.0  6660 pipewire
@beech16 PS 3178635  0.0  4844 pipewire
@beech16 PS 3178637  0.0 14332 wireplumber
@beech16 PS 3178639  0.0  8092 pipewire-pulse
@beech16 PS 3178655  0.0  4260 dbus-daemon
@beech16 PS 3178694  0.0  3312 bash
@beech16 PS 3178699  0.0  2240 bash
@beech16 PS 3178709  0.0  1968 bash
@beech16 PS 3178714  0.0  2000 timeout
@beech16 PS 3178716 99.9 2182476 python
@beech16 PS 3178734  0.0  2004 timeout
@beech16 PS 3178736 99.9 2180096 python
@beech16 PS 3178766  0.0  2000 timeout
@beech16 PS 3178768 99.9 2196452 python
@beech16 PS 3178787  0.0  2000 timeout
@beech16 PS 3178789 99.9 2236728 python
@beech16 PS 3179090  0.0  6060 python
@beech16 PS 3179091  0.0  6144 python
@beech16 PS 3179092  0.0  6144 python
@beech16 PS 3179093  0.0  6072 python
@beech16 PS 3179094 22.2 425444 python
@beech16 PS 3179095 85.1 424904 python
@beech16 PS 3179096 64.3 431000 python
@beech16 PS 3179097 75.0 439492 python
@beech16 PS 3179098 55.9 436464 python
@beech16 PS 3179099 54.5 438028 python
@beech16 PS 3179100 78.7 440040 python
@beech16 PS 3179101 39.5 434024 python
@beech16 PS 3179102 27.7 425900 python
@beech16 PS 3179103 46.7 473800 python
@beech16 PS 3179104 46.8 465160 python
@beech16 PS 3179105 15.7 462872 python
@beech16 PS 3910174  0.0  2084 sleep
@beech16 PS 3910348  0.0  2084 sleep
@beech16 PS 3912110  0.0  7056 sshd
@beech16 PS 3912111  0.0  3644 bash
@beech16 PS 3912122  200  4652 ps
@beech16 PS 3912123  0.0  2328 sed
@beech16 SIZE 8 21,18
@beech16 SEEN 1785225897
