@ash31 CPU 16 10.46
@ash31 MEM 15909 10084
@ash31 GPU 0, 81, 2048
@ash31 PS 2311917  0.1 11944 systemd
@ash31 PS 2311918  0.0  3444 (sd-pam)
@ash31 PS 2311930  0.0  6864 pipewire
@ash31 PS 2311931  0.0  4932 pipewire
@ash31 PS 2311933  0.0 13828 wireplumber
@ash31 PS 2311935  0.0  8524 pipewire-pulse
@ash31 PS 2311950  0.0  4356 dbus-daemon
@ash31 PS 2311989  0.0  3292 bash
@ash31 PS 2311994  0.0  2648 bash
@ash31 PS 2312004  0.0  1928 bash
@ash31 PS 2312009  0.0  1956 timeout
@ash31 PS 2312011 99.9 2178652 python
@ash31 PS 2312029  0.0  1948 timeout
@ash31 PS 2312031 99.9 2244204 python
@ash31 PS 2312050  0.0  1972 timeout
@ash31 PS 2312052 99.9 2192768 python
@ash31 PS 2312087  0.0  1964 timeout
@ash31 PS 2312089 99.9 2215004 python
@ash31 PS 2312389  0.0  6044 python
@ash31 PS 2312390  0.0  6040 python
@ash31 PS 2312391  0.0  6092 python
@ash31 PS 2312392  0.0  6048 python
@ash31 PS 2312393 66.8 463776 python
@ash31 PS 2312394 36.7 468840 python
@ash31 PS 2312395 52.0 460888 python
@ash31 PS 2312396 62.6 465340 python
@ash31 PS 2312397 39.2 458352 python
@ash31 PS 2312398 40.1 462564 python
@ash31 PS 2312399 70.4 466144 python
@ash31 PS 2312400 36.7 458968 python
@ash31 PS 2312401 77.0 493456 python
@ash31 PS 2312402 30.7 484888 python
@ash31 PS 2312403 98.5 490220 python
@ash31 PS 2312404 36.0 485588 python
@ash31 PS 3041774  0.0  2056 sleep
@ash31 PS 3041977  0.0  2080 sleep
@ash31 PS 3047695  0.0  7028 sshd
@ash31 PS 3047696  0.0  3620 bash
@ash31 PS 3047707  0.0  4632 ps
@ash31 PS 3047708  0.0  2332 sed
@ash31 SIZE 8 21,18
@ash31 SEEN 1785225890
