@oak07 CPU 16 13.18
@oak07 MEM 15766 11859
@oak07 GPU 0, 92, 2048
@oak07 PS 4045583  0.1 11568 systemd
@oak07 PS 4045584  0.0  3332 (sd-pam)
@oak07 PS 4045596  0.0  6040 pipewire
@oak07 PS 4045597  0.0  4464 pipewire
@oak07 PS 4045599  0.0 13208 wireplumber
@oak07 PS 4045601  0.0  7660 pipewire-pulse
@oak07 PS 4045622  0.0  4004 dbus-daemon
@oak07 PS 4045655  0.0  3276 bash
@oak07 PS 4045660  0.0  2196 bash
@oak07 PS 4045670  0.0  1908 bash
@oak07 PS 4045675  0.0  1940 timeout
@oak07 PS 4045677 86.0 2019388 python
@oak07 PS 4045710  0.0  1920 timeout
@oak07 PS 4045712 86.2 2019684 python
@oak07 PS 4045734  0.0  1924 timeout
@oak07 PS 4045736 86.5 2016864 python
@oak07 PS 4045754  0.0  1932 timeout
@oak07 PS 4045756 86.7 2019832 python
@oak07 PS 4046721  0.0  5564 python
@oak07 PS 4046722  0.0  5524 python
@oak07 PS 4046723  0.0  5940 python
@oak07 PS 4046724  0.0  7360 python
@oak07 PS 4046725 96.0 569660 python
@oak07 PS 4046726 58.8 570736 python
@oak07 PS 4046727 97.1 569044 python
@oak07 PS 4046728 94.1 573944 python
@oak07 PS 4046729 54.3 543072 python
@oak07 PS 4046730 97.0 572036 python
@oak07 PS 4046731 89.4 573032 python
@oak07 PS 4046732 62.0 567732 python
@oak07 PS 4046733 96.1 575028 python
@oak07 PS 4046734 93.5 547408 python
@oak07 PS 4046735 84.8 547968 python
@oak07 PS 4046736 57.8 547524 python
@oak07 PS 4053685  0.0  2068 sleep
@oak07 PS 4053696  0.0  2084 sleep
@oak07 PS 4054446  0.0  7080 sshd
@oak07 PS 4054447  0.0  3608 bash
@oak07 PS 4054458  0.0  4588 ps
@oak07 PS 4054459  0.0  2308 sed
@oak07 SIZE 8 21,18
@oak07 SEEN 1785182648
