@ash23 CPU 16 2.00
@ash23 MEM 15909 3032
@ash23 GPU 0, 102, 2048
@ash23 PS  180313  0.1 11564 systemd
@ash23 PS  180314  0.0  2384 (sd-pam)
@ash23 PS  180326  0.0  6108 pipewire
@ash23 PS  180327  0.0  4320 pipewire
@ash23 PS  180329  0.0 11912 wireplumber
@ash23 PS  180331  0.0  7600 pipewire-pulse
@ash23 PS  180347  0.0  3820 dbus-daemon
@ash23 PS  180421  0.0  3244 bash
@ash23 PS  180459  0.0  2228 bash
@ash23 PS  180477  0.0  1900 bash
@ash23 PS  180481  0.0  1952 timeout
@ash23 PS  180482 87.3 2289220 python
@ash23 PS  197657  0.0  6544 python
@ash23 PS  197658 95.7 410056 python
@ash23 PS  197659  1.5 412164 python
@ash23 PS  354650  0.0  2064 sleep
@ash23 PS  356136  0.0  2068 sleep
@ash23 PS  356670  0.0  7032 sshd
@ash23 PS  356671  0.0  3560 bash
@ash23 PS  356681  0.0  4528 ps
@ash23 PS  356682  0.0  2324 sed
@ash23 SEEN 1784999861
