@beech19 CPU 16 10.07
@beech19 MEM 15881 10545
@beech19 GPU 0, 82, 4096
@beech19 PS 2463849  0.1 11652 systemd
@beech19 PS 2463850  0.0  3440 (sd-pam)
@beech19 PS 2463862  0.0  6832 pipewire
@beech19 PS 2463863  0.0  4860 pipewire
@beech19 PS 2463864  0.0 13912 wireplumber
@beech19 PS 2463867  0.0  8268 pipewire-pulse
@beech19 PS 2463882  0.0  4340 dbus-daemon
@beech19 PS 2463922  0.0  3280 bash
@beech19 PS 2463935  0.0  2264 bash
@beech19 PS 2463945  0.0  2020 bash
@beech19 PS 2463950  0.0  1976 timeout
@beech19 PS 2463952 99.7 2130932 python
@beech19 PS 2463969  0.0  1972 timeout
@beech19 PS 2463971 99.7 2190908 python
@beech19 PS 2464007  0.0  1976 timeout
@beech19 PS 2464009 99.7 2214576 python
@beech19 PS 2464028  0.0  1964 timeout
@beech19 PS 2464030 99.7 2290812 python
@beech19 PS 2464302  0.0  6044 python
@beech19 PS 2464303  0.0  6076 python
@beech19 PS 2464304  0.0  6096 python
@beech19 PS 2464305  0.0  6032 python
@beech19 PS 2464306 23.4 499676 python
@beech19 PS 2464307 99.6 497992 python
@beech19 PS 2464308 33.8 501448 python
@beech19 PS 2464309 18.9 540508 python
@beech19 PS 2464310 99.7 537200 python
@beech19 PS 2464311 16.0 544424 python
@beech19 PS 2464312 43.1 498440 python
@beech19 PS 2464313 83.9 506500 python
@beech19 PS 2464314 53.8 504444 python
@beech19 PS 2464315  2.1 498884 python
@beech19 PS 2464316 49.1 504360 python
@beech19 PS 2464317 42.7 500912 python
@beech19 PS 2629530  0.0  2084 sleep
@beech19 PS 2629586  0.0  2084 sleep
@beech19 PS 2629809  0.0  7004 sshd
@beech19 PS 2629810  0.0  3628 bash
@beech19 PS 2629821  200  4648 ps
@beech19 PS 2629822  0.0  2328 sed
@beech19 SIZE 8 21,18
@beech19 SEEN 1785182567
