maple1: UNREACHABLE
maple2: UNREACHABLE
maple3: UNREACHABLE
maple4: UNREACHABLE
maple5: UNREACHABLE
maple6: UNREACHABLE
maple7: UNREACHABLE
maple8: UNREACHABLE
maple9: UNREACHABLE
maple10: OCCUPIED
vertex01: LAUNCHED-21 18
vertex02: LAUNCHED-21 18
vertex03: LAUNCHED-15 3
vertex04: LAUNCHED-21 18
vertex05: LAUNCHED-12 6
vertex06: LAUNCHED-21 18
vertex07: LAUNCHED-9 6
vertex08: LAUNCHED-21 18
vertex09: LAUNCHED-15 3
vertex10: OCCUPIED
vertex11: LAUNCHED-21 18
vertex12: LAUNCHED-21 18
vertex13: LAUNCHED-15 3
vertex14: LAUNCHED-21 18
vertex15: LAUNCHED-12 6
vertex16: LAUNCHED-21 18
vertex17: LAUNCHED-9 6
vertex18: LAUNCHED-21 18
vertex19: LAUNCHED-15 3
vertex20: LAUNCHED-21 18
vertex21: OCCUPIED
vertex22: LAUNCHED-21 18
curve01: LAUNCHED-15 3
curve02: LAUNCHED-21 18
curve03: LAUNCHED-12 6
curve04: LAUNCHED-21 18
curve05: UNREACHABLE
curve06: LAUNCHED-21 18
curve07: UNREACHABLE
curve08: UNREACHABLE
curve09: UNREACHABLE
curve10: UNREACHABLE
curve11: UNREACHABLE
curve12: UNREACHABLE
cedar01: UNREACHABLE
cedar02: LAUNCHED-21 18
cedar03: LAUNCHED-9 6
cedar04: LAUNCHED-21 18
cedar05: LAUNCHED-15 3
cedar06: LAUNCHED-21 18
cedar07: LAUNCHED-21 18
labLauncherAll finished Thu 13 Aug 23:43:17 BST 2026
