sweep2 worker gpu26 started Tue 28 Jul 00:14:17 BST 2026
worker gpu26: running p0_g5_mix_66-96-126-153_H3_s4000 Tue 28 Jul 00:14:17 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96-126-153_H3_s4000 Tue 28 Jul 00:31:21 BST 2026
worker gpu26: running p0_g5_mix_66-96-126-153_H7_s12345 Tue 28 Jul 00:31:21 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96-126-153_H7_s12345 Tue 28 Jul 00:46:42 BST 2026
worker gpu26: running p0_g5_mix_66-96-126_H3_s466555 Tue 28 Jul 00:46:42 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96-126_H3_s466555 Tue 28 Jul 00:54:30 BST 2026
worker gpu26: running p0_g5_mix_66-96-126_H6_s12345 Tue 28 Jul 00:54:30 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96-126_H6_s12345 Tue 28 Jul 01:02:39 BST 2026
worker gpu26: running p0_g5_mix_66-96-126_H7_s7134066 Tue 28 Jul 01:02:39 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96-126_H7_s7134066 Tue 28 Jul 01:10:57 BST 2026
worker gpu26: running p0_g5_mix_66-96_H3_s7134066 Tue 28 Jul 01:10:57 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96_H3_s7134066 Tue 28 Jul 01:17:21 BST 2026
worker gpu26: running p0_g5_mix_66-96_H6_s3000 Tue 28 Jul 01:17:21 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96_H6_s3000 Tue 28 Jul 01:23:50 BST 2026
worker gpu26: running p0_g5_mix_66-96_H7_s7134066 Tue 28 Jul 01:23:50 BST 2026
worker gpu26: FAILED p0_g5_mix_66-96_H7_s7134066 Tue 28 Jul 01:31:07 BST 2026
worker gpu26: running p0_g5_mix_66_H4_s6000 Tue 28 Jul 01:31:07 BST 2026
worker gpu26: FAILED p0_g5_mix_66_H4_s6000 Tue 28 Jul 01:33:36 BST 2026
worker gpu26: running p0_g5_mix_66_H7_s2000 Tue 28 Jul 01:33:36 BST 2026
worker gpu26: FAILED p0_g5_mix_66_H7_s2000 Tue 28 Jul 01:36:12 BST 2026
worker gpu26: running p1_g5_ground_pure_H4_s12345 Tue 28 Jul 01:36:13 BST 2026
worker gpu26: FAILED p1_g5_ground_pure_H4_s12345 Tue 28 Jul 01:52:49 BST 2026
