device: cuda; sizes: [(6, 6), (9, 6)]; curve loss on: [(6, 6), (9, 6)]; lr: 0.001; H: 6
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
epoch 0: train 11.0799 | val 6,6: 11.4965 | 9,6: 9.6791
epoch 1: train 10.5120 | val 6,6: 11.2437 | 9,6: 9.5832
epoch 2: train 10.3490 | val 6,6: 11.0404 | 9,6: 9.4733
epoch 3: train 10.2758 | val 6,6: 10.9613 | 9,6: 9.5069
epoch 4: train 10.2324 | val 6,6: 10.9274 | 9,6: 9.3874
epoch 5: train 10.1896 | val 6,6: 10.9038 | 9,6: 9.3776
epoch 6: train 10.1669 | val 6,6: 10.8774 | 9,6: 9.3678
epoch 7: train 10.1372 | val 6,6: 10.8249 | 9,6: 9.3201
epoch 8: train 10.1043 | val 6,6: 10.8150 | 9,6: 9.3134
epoch 9: train 10.0830 | val 6,6: 10.7895 | 9,6: 9.3302
