device: cuda; sizes: [(6, 6), (9, 6)]; curve loss on: [(6, 6), (9, 6)]; lr: 0.001; H: 6
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
epoch 0: train 11.0571 | val 6,6: 11.4360 | 9,6: 9.6744
epoch 1: train 10.5028 | val 6,6: 11.2750 | 9,6: 9.5408
epoch 2: train 10.3850 | val 6,6: 11.1811 | 9,6: 9.5079
epoch 3: train 10.3401 | val 6,6: 11.1349 | 9,6: 9.5131
epoch 4: train 10.3202 | val 6,6: 11.0865 | 9,6: 9.4896
epoch 5: train 10.2900 | val 6,6: 11.0475 | 9,6: 9.4583
epoch 6: train 10.2703 | val 6,6: 11.0202 | 9,6: 9.4223
epoch 7: train 10.2398 | val 6,6: 11.0091 | 9,6: 9.4091
epoch 8: train 10.2214 | val 6,6: 10.9857 | 9,6: 9.3783
epoch 9: train 10.2082 | val 6,6: 10.9782 | 9,6: 9.3929
