device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 3
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 45: train 9.9674 | val 6,6: 10.8133 | 9,6: 9.2824 | 12,6: 8.1365 | 15,3: 11.5976
epoch 46: train 9.9704 | val 6,6: 10.8196 | 9,6: 9.2820 | 12,6: 8.1354 | 15,3: 11.6173
epoch 47: train 9.9655 | val 6,6: 10.8173 | 9,6: 9.2837 | 12,6: 8.1421 | 15,3: 11.5964
epoch 48: train 9.9702 | val 6,6: 10.8148 | 9,6: 9.2877 | 12,6: 8.1439 | 15,3: 11.6006
epoch 49: train 9.9690 | val 6,6: 10.8262 | 9,6: 9.2834 | 12,6: 8.1403 | 15,3: 11.5995
epoch 50: train 9.9696 | val 6,6: 10.8464 | 9,6: 9.2900 | 12,6: 8.1431 | 15,3: 11.6011
epoch 51: train 9.9674 | val 6,6: 10.8170 | 9,6: 9.2885 | 12,6: 8.1725 | 15,3: 11.5978
epoch 52: train 9.9662 | val 6,6: 10.8188 | 9,6: 9.2862 | 12,6: 8.1452 | 15,3: 11.5971
epoch 53: train 9.9664 | val 6,6: 10.8249 | 9,6: 9.2846 | 12,6: 8.1309 | 15,3: 11.5957
epoch 54: train 9.9640 | val 6,6: 10.8446 | 9,6: 9.2922 | 12,6: 8.1506 | 15,3: 11.5993
epoch 55: train 9.9648 | val 6,6: 10.8166 | 9,6: 9.2822 | 12,6: 8.1378 | 15,3: 11.5945
epoch 56: train 9.9590 | val 6,6: 10.8192 | 9,6: 9.2850 | 12,6: 8.1411 | 15,3: 11.5935
epoch 57: train 9.9641 | val 6,6: 10.8314 | 9,6: 9.2879 | 12,6: 8.1321 | 15,3: 11.5950
epoch 58: train 9.9629 | val 6,6: 10.8154 | 9,6: 9.2831 | 12,6: 8.1333 | 15,3: 11.5975
epoch 59: train 9.9614 | val 6,6: 10.8387 | 9,6: 9.2871 | 12,6: 8.1657 | 15,3: 11.5967
epoch 60: train 9.9644 | val 6,6: 10.8360 | 9,6: 9.2905 | 12,6: 8.1428 | 15,3: 11.5996
epoch 61: train 9.9622 | val 6,6: 10.8574 | 9,6: 9.2911 | 12,6: 8.1323 | 15,3: 11.6020
epoch 62: train 9.9599 | val 6,6: 10.8383 | 9,6: 9.2847 | 12,6: 8.1401 | 15,3: 11.6032
epoch 63: train 9.9595 | val 6,6: 10.8075 | 9,6: 9.2804 | 12,6: 8.1289 | 15,3: 11.6004
epoch 64: train 9.9637 | val 6,6: 10.8196 | 9,6: 9.2890 | 12,6: 8.1449 | 15,3: 11.5951
epoch 65: train 9.9570 | val 6,6: 10.8168 | 9,6: 9.2873 | 12,6: 8.1349 | 15,3: 11.6031
epoch 66: train 9.9587 | val 6,6: 10.8084 | 9,6: 9.2789 | 12,6: 8.1295 | 15,3: 11.5955
epoch 67: train 9.9585 | val 6,6: 10.8129 | 9,6: 9.2784 | 12,6: 8.1232 | 15,3: 11.5929
epoch 68: train 9.9587 | val 6,6: 10.8123 | 9,6: 9.2849 | 12,6: 8.1309 | 15,3: 11.5992
epoch 69: train 9.9569 | val 6,6: 10.8148 | 9,6: 9.2861 | 12,6: 8.1279 | 15,3: 11.5922
epoch 70: train 9.9594 | val 6,6: 10.8115 | 9,6: 9.2838 | 12,6: 8.1318 | 15,3: 11.5947
epoch 71: train 9.9573 | val 6,6: 10.8228 | 9,6: 9.2825 | 12,6: 8.1356 | 15,3: 11.5927
epoch 72: train 9.9591 | val 6,6: 10.8297 | 9,6: 9.2921 | 12,6: 8.1426 | 15,3: 11.5987
epoch 73: train 9.9564 | val 6,6: 10.8053 | 9,6: 9.2819 | 12,6: 8.1185 | 15,3: 11.5966
epoch 74: train 9.9568 | val 6,6: 10.8099 | 9,6: 9.2810 | 12,6: 8.1271 | 15,3: 11.5929
epoch 75: train 9.9553 | val 6,6: 10.8353 | 9,6: 9.2950 | 12,6: 8.1452 | 15,3: 11.6002
epoch 76: train 9.9592 | val 6,6: 10.8094 | 9,6: 9.2858 | 12,6: 8.1359 | 15,3: 11.5933
epoch 77: train 9.9592 | val 6,6: 10.8335 | 9,6: 9.2850 | 12,6: 8.1466 | 15,3: 11.5928
epoch 78: train 9.9566 | val 6,6: 10.8065 | 9,6: 9.2833 | 12,6: 8.1261 | 15,3: 11.5930
