device: cuda; sizes: [(6, 6)]; curve loss on: [(6, 6)]; lr: 0.001; H: 6
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
epoch 0: train 12.5995 | val 6,6: 11.8413
epoch 1: train 11.6020 | val 6,6: 11.4052
epoch 2: train 11.3717 | val 6,6: 11.2239
epoch 3: train 11.2543 | val 6,6: 11.1478
epoch 4: train 11.1672 | val 6,6: 11.0281
epoch 5: train 11.0761 | val 6,6: 10.9870
epoch 6: train 11.0299 | val 6,6: 10.9287
epoch 7: train 10.9883 | val 6,6: 10.8921
epoch 8: train 10.9566 | val 6,6: 10.8883
epoch 9: train 10.9372 | val 6,6: 10.8525
epoch 10: train 10.9166 | val 6,6: 10.8542
epoch 11: train 10.9025 | val 6,6: 10.8410
epoch 12: train 10.8890 | val 6,6: 10.8159
epoch 13: train 10.8710 | val 6,6: 10.8022
epoch 14: train 10.8575 | val 6,6: 10.7889
epoch 15: train 10.8410 | val 6,6: 10.7933
epoch 16: train 10.8390 | val 6,6: 10.7738
epoch 17: train 10.8224 | val 6,6: 10.7597
epoch 18: train 10.8168 | val 6,6: 10.7535
epoch 19: train 10.8109 | val 6,6: 10.7544
epoch 20: train 10.8036 | val 6,6: 10.7436
epoch 21: train 10.7999 | val 6,6: 10.7356
epoch 22: train 10.7934 | val 6,6: 10.7323
