device: cuda; sizes: [(6, 6), (9, 6)]; curve loss on: [(6, 6), (9, 6)]; lr: 0.001; H: 4
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
epoch 0: train 11.0787 | val 6,6: 11.4994 | 9,6: 9.7015
epoch 1: train 10.5448 | val 6,6: 11.1801 | 9,6: 9.5734
epoch 2: train 10.3813 | val 6,6: 11.0628 | 9,6: 9.5238
epoch 3: train 10.3044 | val 6,6: 10.9874 | 9,6: 9.4990
epoch 4: train 10.2703 | val 6,6: 10.9729 | 9,6: 9.4884
epoch 5: train 10.2351 | val 6,6: 10.9277 | 9,6: 9.4069
epoch 6: train 10.2081 | val 6,6: 10.9032 | 9,6: 9.3791
epoch 7: train 10.1860 | val 6,6: 10.9009 | 9,6: 9.3788
epoch 8: train 10.1602 | val 6,6: 10.8821 | 9,6: 9.3458
epoch 9: train 10.1490 | val 6,6: 10.8458 | 9,6: 9.3186
