/vol/bitbucket/osella/groundWorker.sh: line 1: ﻿#!/bin/bash: No such file or directory
ground worker gpu21 started Wed 29 Jul 21:40:09 BST 2026
worker gpu21: running p1_g5_ground_anch_H3_s2000 Wed 29 Jul 21:40:09 BST 2026
worker gpu21: DONE p1_g5_ground_anch_H3_s2000 Wed 29 Jul 21:50:57 BST 2026
worker gpu21: running p1_g5_ground_anch_H3_s7134066 Wed 29 Jul 21:50:58 BST 2026
worker gpu21: DONE p1_g5_ground_anch_H3_s7134066 Wed 29 Jul 22:01:38 BST 2026
worker gpu21: running p1_g5_ground_anch_H4_s466555 Wed 29 Jul 22:01:38 BST 2026
worker gpu21: DONE p1_g5_ground_anch_H4_s466555 Wed 29 Jul 22:12:14 BST 2026
worker gpu21: running p1_g5_ground_anch_H6_s466555 Wed 29 Jul 22:12:14 BST 2026
worker gpu21: DONE p1_g5_ground_anch_H6_s466555 Wed 29 Jul 22:22:47 BST 2026
worker gpu21: running p1_g5_ground_anch_H7_s3000 Wed 29 Jul 22:22:47 BST 2026
worker gpu21: DONE p1_g5_ground_anch_H7_s3000 Wed 29 Jul 22:33:31 BST 2026
worker gpu21: running p1_g5_ground_pure_H3_s1000 Wed 29 Jul 22:33:32 BST 2026
worker gpu21: DONE p1_g5_ground_pure_H3_s1000 Wed 29 Jul 22:44:10 BST 2026
worker gpu21: running p1_g5_ground_pure_H3_s7134066 Wed 29 Jul 22:44:11 BST 2026
worker gpu21: DONE p1_g5_ground_pure_H3_s7134066 Wed 29 Jul 22:54:46 BST 2026
worker gpu21: running p1_g5_ground_pure_H4_s3000 Wed 29 Jul 22:54:47 BST 2026
worker gpu21: DONE p1_g5_ground_pure_H4_s3000 Wed 29 Jul 23:05:30 BST 2026
worker gpu21: running p1_g5_ground_pure_H6_s3000 Wed 29 Jul 23:05:30 BST 2026
worker gpu21: DONE p1_g5_ground_pure_H6_s3000 Wed 29 Jul 23:16:08 BST 2026
worker gpu21: running p1_g5_ground_pure_H7_s2000 Wed 29 Jul 23:16:09 BST 2026
worker gpu21: DONE p1_g5_ground_pure_H7_s2000 Wed 29 Jul 23:26:43 BST 2026
