device: cuda; sizes: [(6, 6)]; curve loss on: [(6, 6)]; lr: 0.001; H: 3
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
epoch 0: train 12.4618 | val 6,6: 11.7733
epoch 1: train 11.4944 | val 6,6: 11.3599
epoch 2: train 11.3129 | val 6,6: 11.2117
epoch 3: train 11.1986 | val 6,6: 11.1290
epoch 4: train 11.1239 | val 6,6: 11.0766
epoch 5: train 11.0882 | val 6,6: 11.0578
epoch 6: train 11.0648 | val 6,6: 11.0276
epoch 7: train 11.0316 | val 6,6: 11.0112
epoch 8: train 10.9977 | val 6,6: 10.9726
epoch 9: train 10.9739 | val 6,6: 10.9611
epoch 10: train 10.9495 | val 6,6: 10.9269
epoch 11: train 10.9309 | val 6,6: 10.9135
epoch 12: train 10.9159 | val 6,6: 10.8950
epoch 13: train 10.9045 | val 6,6: 10.8927
epoch 14: train 10.8858 | val 6,6: 10.8601
epoch 15: train 10.8595 | val 6,6: 10.8279
