device: cuda; sizes: [(6, 6)]; curve loss on: [(6, 6)]; lr: 0.001; H: 3
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
epoch 0: train 12.5306 | val 6,6: 11.7832
epoch 1: train 11.4055 | val 6,6: 11.2184
epoch 2: train 11.2016 | val 6,6: 11.0738
epoch 3: train 11.0927 | val 6,6: 11.0144
epoch 4: train 11.0306 | val 6,6: 10.9574
epoch 5: train 10.9911 | val 6,6: 10.9239
epoch 6: train 10.9583 | val 6,6: 10.9114
epoch 7: train 10.9325 | val 6,6: 10.8774
epoch 8: train 10.9081 | val 6,6: 10.8749
epoch 9: train 10.8891 | val 6,6: 10.8546
epoch 10: train 10.8789 | val 6,6: 10.8595
epoch 11: train 10.8694 | val 6,6: 10.8485
epoch 12: train 10.8614 | val 6,6: 10.8371
epoch 13: train 10.8454 | val 6,6: 10.8118
epoch 14: train 10.8235 | val 6,6: 10.7724
epoch 15: train 10.8008 | val 6,6: 10.7743
