# num_workers = 96
# num_cells = 256
# seed_for_environment = 232323
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 10
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 15
# env_m = 3
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 10
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze
0	-0.4000000059604645	8.075420379638672	2.710115909576416	2.711534261703491	1.3750524520874023	1.2787175178527832	True
0	-1.0	8.255050659179688	2.739194393157959	2.7640457153320312	1.3714263439178467	1.3803839683532715	True
0	-1.0	8.087956428527832	2.7173283100128174	2.7183024883270264	1.3745532035827637	1.2777726650238037	True
0	0.11749999970197678	8.252365112304688	2.739032745361328	2.7640538215637207	1.3770166635513306	1.3722622394561768	True
0	-0.4000000059604645	8.082776069641113	2.7058820724487305	2.716935396194458	1.3758139610290527	1.2841445207595825	True
0	-0.4000000059604645	8.23996639251709	2.736409902572632	2.76041316986084	1.3742735385894775	1.3688697814941406	True
0	-0.4000000059604645	8.10164737701416	2.712883472442627	2.721273183822632	1.3769302368164062	1.2905606031417847	True
0	-1.0	8.261890411376953	2.7398433685302734	2.764763832092285	1.3750747442245483	1.3822083473205566	True
0	-1.0	8.194450378417969	2.7232933044433594	2.749897003173828	1.3762003183364868	1.3450596332550049	True
0	-1.0	8.257575988769531	2.739915370941162	2.76487135887146	1.3741695880889893	1.3786203861236572	True
0	-1.0	8.099601745605469	2.71699595451355	2.72291898727417	1.3736610412597656	1.2860255241394043	True
0	0.125	8.261415481567383	2.7401323318481445	2.7643814086914062	1.378108024597168	1.3787932395935059	True
0	-0.4000000059604645	8.07706069946289	2.706631898880005	2.712891101837158	1.3752458095550537	1.282291054725647	True
0	-1.0	8.245633125305176	2.735696315765381	2.7624576091766357	1.3684654235839844	1.3790136575698853	True
0	-1.0	8.081466674804688	2.7154760360717773	2.715799331665039	1.3739869594573975	1.2762037515640259	True
0	0.12250000238418579	8.261104583740234	2.73832631111145	2.764143228530884	1.3806434869766235	1.377991795539856	True
0	-0.800000011920929	8.08238410949707	2.7069814205169678	2.716705322265625	1.3756258487701416	1.2830712795257568	True
0	-0.4000000059604645	8.265130043029785	2.7473416328430176	2.7626686096191406	1.3736326694488525	1.381487250328064	True
0	-0.4000000059604645	8.175124168395996	2.720369815826416	2.743683338165283	1.380844235420227	1.3302266597747803	True
0	0.3199999928474426	8.265798568725586	2.7485079765319824	2.763044595718384	1.3709956407546997	1.3832502365112305	True
0	-0.4000000059604645	8.263225555419922	2.7451024055480957	2.7637343406677246	1.3715267181396484	1.3828624486923218	True
0	-0.4000000059604645	8.270275115966797	2.7511935234069824	2.758854627609253	1.3765318393707275	1.3836957216262817	True
0	-1.0	8.240748405456543	2.7323505878448486	2.761425495147705	1.3692970275878906	1.3776754140853882	True
0	-1.0	8.26567268371582	2.7534542083740234	2.7607710361480713	1.3707786798477173	1.380669116973877	True
0	-0.800000011920929	8.274823188781738	2.7504453659057617	2.7660715579986572	1.3785691261291504	1.3797376155853271	True
0	0.14000000059604645	8.263994216918945	2.7545275688171387	2.759178638458252	1.3738229274749756	1.376465082168579	True
0	-0.800000011920929	8.1692533493042	2.7206649780273438	2.741870403289795	1.378739356994629	1.327978253364563	True
0	-0.800000011920929	8.261655807495117	2.7528672218322754	2.762152671813965	1.3742369413375854	1.372399091720581	True
0	-0.800000011920929	8.270094871520996	2.7517075538635254	2.7632832527160645	1.379427433013916	1.3756766319274902	True
0	-1.0	8.254912376403809	2.7490553855895996	2.7629036903381348	1.3644558191299438	1.37849760055542	True
1	-0.800000011920929	7.599390029907227	2.5747411251068115	2.5489609241485596	1.2716013193130493	1.2040866613388062	False
1	-1.0	8.027584075927734	2.664950132369995	2.6753010749816895	1.3518599271774292	1.3354735374450684	False
