# num_workers = 96
# num_workers = 64
# seed_for_environment = 3
# num_cells = 256
# max_grad_norm = 1.0
# eval_rollout_length = 30
# lr = 0.0003
or = 10000
# frames_per_batch = 1000
# sub_batch_size = 64
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_ba# lmbda = 0.95
# sub_batch_size = 64
# num_epochs = 10
ng = True
# clip_epsilon = 0.2
ubits = 5
# gamma = 0.99
ne
# lmbda = 0.95
 qecc/bbcode-ldpc-v0
# entropy_eps = 0.3
 False
# env_l = 6
# env_m = 6
ineering = True
# minimum_number_of_qubits = 6
d in actual run: SLURM CPUS queried from os environment: 96
# log_name = None
s: 96
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# Number of workers: 64
# Does torch identify cuda: False
evaluation number	reward	policy entropy
0	-1.0	19.297870635986328
0	-1.0	19.244863510131836
0	-1.0	19.319093704223633
0	0.26499998569488525	19.324296951293945
0	-1.0	19.31540298461914
0	-1.0	19.25510597229004
0	-1.0	19.30846405029297
0	0.25999999046325684	19.291370391845703
0	-0.6000000238418579	19.299575805664062
0	-1.0	19.30314826965332
0	-1.0	19.28236198425293
0	-1.0	19.317928314208984
0	-1.0	19.27548599243164
0	-1.0	19.303733825683594
0	-1.0	19.28981590270996
0	0.25	19.302799224853516
0	0.25	19.300071716308594
0	-1.0	19.306495666503906
0	-1.0	19.261478424072266
0	-1.0	19.304580688476562
0	-1.0	19.28981590270996
0	0.3149999976158142	19.302799224853516
0	0.28999999165534973	19.300071716308594
0	-1.0	19.306495666503906
0	-1.0	19.261478424072266
0	-1.0	19.304580688476562
0	-1.0	19.28981590270996
0	0.2750000059604645	19.302799224853516
0	0.28999999165534973	19.300071716308594
0	-1.0	19.306495666503906
evaluation number	reward	policy entropy
0	0.14749999344348907	7.69373893737793
0	-1.0	7.699650764465332
0	0.35499998927116394	7.6969709396362305
0	-1.0	7.679333686828613
0	-1.0	7.690977096557617
0	-1.0	7.689821243286133
0	-1.0	7.674549102783203
0	-1.0	7.689821243286133
0	-1.0	7.674549102783203
0	-1.0	7.689821243286133
0	-1.0	7.674549102783203
0	-1.0	7.689821243286133
0	-1.0	7.674549102783203
