# num_workers = 4
# num_gpus = 1
# env_level_parallelism = 4
# num_cells = 256
# seed_for_environment = 468
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 100
# frames_per_batch = 1000
# sub_batch_size = 64
# num_epochs = 10
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.0001
# reward_engineering = False
# minimum_number_of_qubits = 6
# log_name = experiment_2_.txt
# Number of workers: 4
# Does torch identify cuda: True
# Number of collectors: 1
# Collector device list: ['cuda:0']
evaluation number	reward	policy entropy	environment index
0	0.027222750708460808	68.30899047851562	0
0	0.033216748386621475	67.21995544433594	0
0	-0.9975212216377258	67.98439025878906	0
0	-0.9975212216377258	67.34504699707031	0
0	-0.8646647334098816	67.32427215576172	0
0	-0.8646647334098816	68.16619110107422	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	-0.8646647334098816	67.7918701171875	0
0	0.025724250823259354	68.30899047851562	1
0	0.03334162384271622	67.21995544433594	1
0	-0.9975212216377258	67.98439025878906	1
0	-0.9975212216377258	67.34504699707031	1
0	-0.8646647334098816	67.32427215576172	1
0	-0.8646647334098816	68.16619110107422	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	-0.8646647334098816	67.7918701171875	1
0	0.02672325074672699	68.30899047851562	2
0	0.03296700119972229	67.21995544433594	2
0	-0.9975212216377258	67.98439025878906	2
0	-0.9975212216377258	67.34504699707031	2
0	-0.8646647334098816	67.32427215576172	2
0	-0.8646647334098816	68.16619110107422	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	-0.8646647334098816	67.7918701171875	2
0	0.028721250593662262	68.30899047851562	3
0	0.03546449914574623	67.21995544433594	3
0	-0.9975212216377258	67.98439025878906	3
0	-0.9975212216377258	67.34504699707031	3
0	-0.8646647334098816	67.32427215576172	3
0	-0.8646647334098816	68.16619110107422	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
0	-0.8646647334098816	67.7918701171875	3
1	0.027472499758005142	10.241655349731445	0
1	-0.9816843867301941	10.263643264770508	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	-0.9816843867301941	10.225879669189453	0
1	0.027222750708460808	10.241655349731445	1
1	-0.9816843867301941	10.263643264770508	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	-0.9816843867301941	10.225879669189453	1
1	0.028221750631928444	10.241655349731445	2
1	-0.9816843867301941	10.263643264770508	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	-0.9816843867301941	10.225879669189453	2
1	0.02847149968147278	10.241655349731445	3
1	-0.9816843867301941	10.263643264770508	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
1	-0.9816843867301941	10.225879669189453	3
2	-0.9975212216377258	0.0002470630861353129	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
2	-0.9975212216377258	0.000284256151644513	0
