# num_workers = 96
# num_cells = 256
# seed_for_environment = 1982
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 100
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.001
# env_reward_engineering = True
# env_minimum_number_of_qubits = 6
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth
# index_to_unfreeze_encoder_updates = 10
# encoder_lr_factor = 0.1
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
evaluation number	reward	policy entropy	Encoder freeze
0	0.14499999582767487	7.535065174102783	True
0	0.1574999988079071	7.6215925216674805	True
0	0.17000000178813934	7.617692947387695	True
0	0.1550000011920929	7.616089344024658	True
0	0.14000000059604645	7.618749141693115	True
0	0.1525000035762787	7.617163181304932	True
0	0.22499999403953552	7.613321781158447	True
0	0.17499999701976776	7.6274638175964355	True
0	0.17000000178813934	7.620622634887695	True
0	0.13500000536441803	7.631021499633789	True
0	0.19750000536441803	7.605030059814453	True
0	0.16249999403953552	7.630948066711426	True
0	0.19499999284744263	7.616800785064697	True
0	0.14499999582767487	7.624815940856934	True
0	0.1850000023841858	7.619067192077637	True
0	0.1599999964237213	7.632172107696533	True
0	0.20000000298023224	7.618193626403809	True
0	0.15000000596046448	7.630508899688721	True
0	0.18250000476837158	7.62468957901001	True
0	0.14499999582767487	7.632369041442871	True
0	0.17749999463558197	7.617137432098389	True
0	0.1574999988079071	7.632392883300781	True
0	0.17000000178813934	7.625775337219238	True
0	0.1599999964237213	7.631220817565918	True
0	0.18000000715255737	7.6166791915893555	True
0	0.1550000011920929	7.641123294830322	True
0	0.20000000298023224	7.627529144287109	True
0	0.1599999964237213	7.627342700958252	True
0	0.17000000178813934	7.62410831451416	True
0	0.13500000536441803	7.634241104125977	True
1	0.17499999701976776	6.631104469299316	False
1	0.16750000417232513	6.720422267913818	False
1	0.17499999701976776	6.685582637786865	False
1	0.18000000715255737	6.686160564422607	False
1	0.21250000596046448	6.702528953552246	False
1	0.14249999821186066	6.673175811767578	False
1	0.20250000059604645	6.707149028778076	False
1	0.1550000011920929	6.686977386474609	False
1	0.16249999403953552	6.70319938659668	False
1	0.1550000011920929	6.68958854675293	False
1	0.1875	6.679018974304199	False
1	0.13750000298023224	6.68414306640625	False
1	0.17499999701976776	6.707334518432617	False
1	0.14749999344348907	6.702491283416748	False
1	0.1899999976158142	6.707373142242432	False
1	0.17000000178813934	6.669059753417969	False
1	0.19249999523162842	6.709968566894531	False
1	0.1550000011920929	6.698207378387451	False
1	0.19499999284744263	6.707995891571045	False
1	0.17749999463558197	6.685783386230469	False
1	0.1850000023841858	6.687938213348389	False
1	0.13750000298023224	6.6700520515441895	False
1	0.23250000178813934	6.694801330566406	False
1	0.16249999403953552	6.683236122131348	False
1	0.19499999284744263	6.6995038986206055	False
1	0.16249999403953552	6.676637172698975	False
1	0.2150000035762787	6.6989030838012695	False
1	0.13249999284744263	6.65855073928833	False
1	0.17000000178813934	6.701839447021484	False
1	0.16500000655651093	6.692776679992676	False
2	0.23499999940395355	6.638828277587891	False
2	0.16249999403953552	6.486461639404297	False
2	0.17499999701976776	6.623249530792236	False
2	0.1274999976158142	6.511499881744385	False
2	0.18000000715255737	6.649106025695801	False
2	0.13750000298023224	6.441491603851318	False
2	0.1550000011920929	6.625967502593994	False
2	0.20749999582767487	6.497980117797852	False
2	0.1550000011920929	6.5868988037109375	False
2	0.14499999582767487	6.545801162719727	False
2	0.14249999821186066	6.648202419281006	False
2	0.11749999970197678	6.534511566162109	False
2	0.17499999701976776	6.649479866027832	False
2	0.1525000035762787	6.458184719085693	False
2	0.14000000059604645	6.632651329040527	False
2	0.1899999976158142	6.524020671844482	False
2	0.16750000417232513	6.557520866394043	False
2	0.1525000035762787	6.433044910430908	False
2	0.14499999582767487	6.61968469619751	False
2	0.125	6.506429672241211	False
2	0.1875	6.712464809417725	False
2	0.17000000178813934	6.414855003356934	False
2	0.18000000715255737	6.554999828338623	False
2	0.1550000011920929	6.4566497802734375	False
2	0.14749999344348907	6.642538070678711	False
2	0.13500000536441803	6.53223991394043	False
2	0.18250000476837158	6.655611515045166	False
2	0.13750000298023224	6.488214492797852	False
2	0.1550000011920929	6.646941661834717	False
2	0.1599999964237213	6.506082057952881	False
3	0.125	6.411489963531494	False
3	0.12999999523162842	6.3847432136535645	False
3	0.17499999701976776	6.435523509979248	False
3	0.14000000059604645	6.451555252075195	False
3	0.1599999964237213	6.466108798980713	False
3	0.125	6.45435905456543	False
3	0.125	6.456740856170654	False
3	0.11749999970197678	6.417965888977051	False
3	0.125	6.421795845031738	False
3	0.12999999523162842	6.396090507507324	False
3	0.15000000596046448	6.451442241668701	False
3	0.1899999976158142	6.432029724121094	False
3	0.125	6.419180870056152	False
3	0.13500000536441803	6.392178535461426	False
3	0.125	6.440857887268066	False
3	0.125	6.389401435852051	False
3	0.12999999523162842	6.437652587890625	False
3	0.13750000298023224	6.361547946929932	False
3	0.17749999463558197	6.448080062866211	False
3	0.14000000059604645	6.425276756286621	False
3	0.16500000655651093	6.443654537200928	False
3	0.14000000059604645	6.438693523406982	False
3	0.17499999701976776	6.481863021850586	False
3	0.125	6.409160614013672	False
3	0.1599999964237213	6.439919948577881	False
3	0.20000000298023224	6.422304153442383	False
3	0.12250000238418579	6.397437572479248	False
3	0.13500000536441803	6.392053604125977	False
3	0.11999999731779099	6.428508758544922	False
3	0.12250000238418579	6.374798774719238	False
4	0.12250000238418579	6.626733779907227	False
4	0.12999999523162842	6.500515460968018	False
4	0.1274999976158142	6.610196113586426	False
4	0.125	6.530368328094482	False
4	0.11999999731779099	6.644415855407715	False
4	0.125	6.5129780769348145	False
4	0.125	6.627233505249023	False
4	0.12999999523162842	6.511406898498535	False
4	0.125	6.567590713500977	False
4	0.1274999976158142	6.480311393737793	False
4	0.125	6.614348411560059	False
4	0.12999999523162842	6.517868995666504	False
4	0.12250000238418579	6.605140686035156	False
4	0.125	6.49176549911499	False
4	0.125	6.652813911437988	False
4	0.125	6.531488418579102	False
4	0.17000000178813934	6.601315975189209	False
4	0.11999999731779099	6.47879695892334	False
4	0.17749999463558197	6.628472328186035	False
4	0.13500000536441803	6.542120933532715	False
4	0.125	6.648586273193359	False
4	0.13249999284744263	6.503777503967285	False
4	0.15000000596046448	6.6345086097717285	False
4	0.13750000298023224	6.5633134841918945	False
